"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"	Distance
"Abbotsford"	"3/515 Great Rd"	2	"Unit"		"https://www.realestate.com.au/126576334"	7.4
"Abbotsford"	"24 Chatham Pl"	3	"House"		"https://www.realestate.com.au/126560258"	7.4
"Adamstown"	"366 Brunker Rd"	4	"House"		"https://www.realestate.com.au/126544958"	166
"Adamstown Heights"	"86 Madison Dr"	4	"House"		"https://www.realestate.com.au/126474834"	un_known
"Alexandria"	"10/62 Botany Rd"	1	"Unit"	680000	"https://www.realestate.com.au/126587714"	3.5
"Alexandria"	"228 Belmont St"	3	"House"	1750000	"https://www.realestate.com.au/126584530"	3.5
"Alexandria"	"151/362 Mitchell Rd"	1	"Unit"	751000	"https://www.realestate.com.au/126590438"	3.5
"Alexandria"	"11C/147 Mcevoy St"	3	"Unit"		"https://www.realestate.com.au/126548470"	3.5
"Alexandria"	"17/15 Fountain St"	3	"Unit"	1599000	"https://www.realestate.com.au/126566798"	3.5
"Alfords Point"	"84 Brushwood Dr"	4	"House"	1620000	"https://www.realestate.com.au/126480030"	21.9
"Alfords Point"	"20 Watergum Pl"	4	"House"	1115000	"https://www.realestate.com.au/126590206"	21.9
"Allambie Heights"	"6 Buna Pl"	3	"House"	1500000	"https://www.realestate.com.au/126473822"	12
"Allambie Heights"	"55 Smith Av"	4	"House"		"https://www.realestate.com.au/126571190"	12
"Alstonville"	"52 Alston Av"	4	"House"	590000	""	un_known
"Alstonville"	"4 Dillons La"	6	"House"	800000	"https://www.realestate.com.au/126476518"	un_known
"Annandale"	"9 Wells St"	2	"House"		"https://www.realestate.com.au/126534762"	3.7
"Annandale"	"60 Johnston St"	4	"House"		"https://www.realestate.com.au/126472746"	3.7
"Annandale"	"34 Rose St"	3	"House"	2150000	"https://www.realestate.com.au/126516802"	3.7
"Annandale"	"37 Young St"	4	"House"		"https://www.realestate.com.au/126508490"	3.7
"Arncliffe"	"27 Mt St"	4	"House"		""	9.5
"Artarmon"	"404/4 Francis Rd"	2	"Unit"		"https://www.realestate.com.au/126580478"	6.7
