"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"	Distance
"ABBOTSFORD"	"10 Tyler Cr"	3	"House"	Passed In	"https://www.domain.com.au/10-tyler-crescent-abbotsford-nsw-2046-2013852663"	7.4
"ALEXANDRIA"	"344 Belmont St"	2	"House"	1432.0	"https://www.domain.com.au/344-belmont-street-alexandria-nsw-2015-2013869148"	3.5
"ALLAWAH"	"4/13 Balfour St"	2	"Unit"	720.0	"https://www.domain.com.au/4-13-balfour-street-allawah-nsw-2218-2013886223"	14.3
"ALLAWAH"	"2/29 Lancelot St"	3	"Unit"	Passed In	"https://www.domain.com.au/2-29-lancelot-street-allawah-nsw-2218-2013883164"	14.3
"ANNANDALE"	"40 Alfred St"	4	"House"	1950.0	"https://www.domain.com.au/40-alfred-street-annandale-nsw-2038-2013884704"	3.7
"ANNANDALE"	"3A Wells St"	3	"House"	1740.0	"https://www.domain.com.au/3a-wells-street-annandale-nsw-2038-2013882595"	3.7
"ARTARMON"	"22/1 Broughton Rd"	2	"Unit"	965.0	"https://www.domain.com.au/22-1-broughton-road-artarmon-nsw-2064-2013899779"	6.7
"ARTARMON"	"3/9-11 Kitchener Rd"	3	"Townhouse"	Price withheld	"https://www.domain.com.au/3-9-11-kitchener-road-artarmon-nsw-2064-2013885526"	6.7
"ARTARMON"	"8 Rimmington St"	3	"House"	1565.0	"https://www.domain.com.au/8-rimmington-street-artarmon-nsw-2064-2013887439"	6.7
"ASHFIELD"	"21/18-20 Knocklayde St"	3	"Townhouse"	1108.0	"https://www.domain.com.au/21-18-20-knocklayde-street-ashfield-nsw-2131-2013878121"	7.9
"ASHFIELD"	"16 Rose St"	4	"House"	1458.0	"https://www.domain.com.au/16-rose-street-ashfield-nsw-2131-2013872000"	7.9
"AUBURN"	"19 Belgium St"	4	"House"	1140.0	"https://www.domain.com.au/19-belgium-street-auburn-nsw-2144-2013824145"	16.2
"AUBURN"	"1 Cover St"	5	"House"	1300.0	"https://www.domain.com.au/1-cover-st-auburn-nsw-2144-2013877857"	16.2
"AUBURN"	"136 Harrow Rd"	3	"House"	1175.0	"https://www.domain.com.au/136-harrow-rd-auburn-nsw-2144-2013879758"	16.2
"AVALON BEACH"	"29 Queens Av"	4	"House"	1675.0	"https://www.domain.com.au/29-queens-avenue-avalon-beach-nsw-2107-2013874037"	28.1
"AVOCA BEACH"	"25 Moores Rd"	4	"House"	Price withheld	"https://www.domain.com.au/25-moores-rd-avoca-beach-nsw-2251-2013860523"	49.3
"BALGOWLAH"	"65a Griffiths St"	3	"House"	2315.0	"https://www.domain.com.au/65a-griffiths-street-balgowlah-nsw-2093-2013875538"	9.6
"BANKSIA"	"11 Wolli Creek Rd"	2	"House"	920.0	"https://www.domain.com.au/11-wolli-creek-road-banksia-nsw-2216-2013877779"	10.7
"BANKSTOWN"	"196 Canterbury Rd"	3	"House"	Price withheld	"https://www.domain.com.au/196-canterbury-road-bankstown-nsw-2200-2013878992"	16.9
"BANKSTOWN"	"44 Claribel St"	4	"House"	930.0	"https://www.domain.com.au/44-claribel-street-bankstown-nsw-2200-2013879492"	16.9
"BANKSTOWN"	"99 Oxford Av"	2	"House"	1525.0	"https://www.domain.com.au/99-oxford-avenue-bankstown-nsw-2200-2013879182"	16.9
"BAULKHAM HILLS"	"30 Mulheron Av"	5	"House"	1260.0	"https://www.domain.com.au/30-mulheron-avenue-baulkham-hills-nsw-2153-2013874097"	23.2
"BAULKHAM HILLS"	"57 Quintana Av"	3	"House"	1220.0	"https://www.domain.com.au/57-quintana-avenue-baulkham-hills-nsw-2153-2013887247"	23.2
"BEACON HILL"	"1 Lanai Pl"	4	"House"	1555.0	"https://www.domain.com.au/1-lanai-place-beacon-hill-nsw-2100-2013870915"	13.7
"BEECROFT"	"83 Hull Rd"	4	"House"	Withdrawn	"https://www.domain.com.au/83-hull-road-beecroft-nsw-2119-2013839057"	18.6
"BELMORE"	"11 Railway Pde"	4	"House"	Passed In	"https://www.domain.com.au/11-railway-parade-belmore-nsw-2192-2013866949"	12.3
"BELMORE"	"41 Trafalgar St"	3	"House"	1300.0	"https://www.domain.com.au/41-trafalgar-street-belmore-nsw-2192-2013879409"	12.3
"BEVERLY HILLS"	"28 Pallamana Pde"	3	"House"	1185.0	"https://www.domain.com.au/28-pallamana-parade-beverly-hills-nsw-2209-2013867191"	14.7
"BEXLEY"	"64 Croydon Rd"	3	"House"	1100.0	"https://www.domain.com.au/64-croydon-road-bexley-nsw-2207-2013871388"	11.7
"BEXLEY"	"12 Docos Cr"	4	"House"	1480.0	"https://www.domain.com.au/12-docos-crescent-bexley-nsw-2207-2013875588"	11.7
"BEXLEY"	"5/71 St Georges Rd"	2	"Villa"	804.0	"https://www.domain.com.au/5-71-st-georges-road-bexley-nsw-2207-2013875580"	11.7
"BIRRONG"	"74 Auburn Rd"	5	"House"	1175.0	"https://www.domain.com.au/74-auburn-road-birrong-nsw-2143-2013879860"	17.2
"BIRRONG"	"74a Auburn Rd"	4	"House"	Passed In	"https://www.domain.com.au/74a-auburn-road-birrong-nsw-2143-2013879863"	17.2
"BIRRONG"	"1A Tewinga Rd"	2	"House"	700.0	"https://www.domain.com.au/1a-tewinga-road-birrong-nsw-2143-2013897103"	17.2
"BLACKTOWN"	"2 Dorset St"	3	"House"	615.0	"https://www.domain.com.au/2-dorset-street-blacktown-nsw-2148-2013882102"	29.6
"BLACKTOWN"	"35 Tara Rd"	3	"House"	Passed In	"https://www.domain.com.au/35-tara-road-blacktown-nsw-2148-2013887279"	29.6
"BONNYRIGG"	"10 Eloura Pl"	3	"House"	810.0	"https://www.domain.com.au/10-eloura-place-bonnyrigg-nsw-2177-2013880861"	29.7
"BOSSLEY PARK"	"109 Bossley Rd"	5	"House"	1160.0	"https://www.domain.com.au/109-bossley-road-bossley-park-nsw-2176-2013880332"	29.8
"BOTANY"	"201/9 Myrtle St"	2	"Unit"	Passed In	"https://www.domain.com.au/201-9-myrtle-street-botany-nsw-2019-2013874485"	8.7
"BOTANY"	"1A/44 William St"	3	"House"	1340.0	"https://www.domain.com.au/1a-44-william-street-botany-nsw-2019-2013885009"	8.7
"BOTANY"	"49b Wilson St"	3	"House"	Price withheld	"https://www.domain.com.au/49b-wilson-street-botany-nsw-2019-2013869486"	8.7
"BRIGHTON-LE-SANDS"	"9/102 The Grand Pde"	2	"Unit"	617.0	"https://www.domain.com.au/9-102-the-grand-parade-brighton-le-sands-nsw-2216-2013904212"	11.4
"BRONTE"	"19/2-14 Pacific St"	3	"Unit"	3450.0	"https://www.domain.com.au/19-2-14-pacific-street-bronte-nsw-2024-2013867038"	6.5
"BROOKVALE"	"13 Alfred Rd"	4	"House"	1648.0	"https://www.domain.com.au/13-alfred-road-brookvale-nsw-2100-2013880398"	12.8
"BROOKVALE"	"13/3-5 Shackel Av"	2	"Unit"	840.0	"https://www.domain.com.au/13-3-5-shackel-avenue-brookvale-nsw-2100-2013888065"	12.8
"BURRANEER"	"10 Wren Pl"	3	"House"	5020.0	"https://www.domain.com.au/10-wren-place-burraneer-nsw-2230-2013871773"	22.9
"BURWOOD"	"14 Britannia Av"	2	"House"	1970.0	"https://www.domain.com.au/14-britannia-ave-burwood-nsw-2134-2013872021"	9.6
"CABRAMATTA WEST"	"56 Boyd St"	6	"House"	Price withheld	"https://www.domain.com.au/56-boyd-street-cabramatta-west-nsw-2166-2013863883"	27
"CAMMERAY"	"4/8-10 Amherst St"	2	"Townhouse"	Price withheld	"https://www.domain.com.au/4-8-10-amherst-street-cammeray-nsw-2062-2013873688"	5
