"Suburb","Address",Bedroom,"Type",Price,"Link"
"Abbotsbury","8 Darling St",4,"House",975000,"https://www.realestate.com.au/126299514"
"Abbotsbury","6 Glenton St",3,"House",861000,"https://www.realestate.com.au/126271918"
"Aberdare","6 Mulbring St",2,"House",,"https://www.realestate.com.au/126225494"
"Aberdeen","36 Blairmore La",5,"House",640000,""
"Adamstown Heights","77 Madison Dr",3,"House",,"https://www.realestate.com.au/126298414"
"Adamstown Heights","23 Montrose Av",3,"House",635000,"https://www.realestate.com.au/126350142"
"Adamstown Heights","7 Madera Cl",3,"House",750000,"https://www.realestate.com.au/126356986"
"Albury","571 Olive St",2,"House",,"https://www.realestate.com.au/126313998"
"Albury","1/616 Stanley St",3,"Unit",305000,"https://www.realestate.com.au/126307102"
"Alexandria","153 Buckland St",3,"House",1570000,""
"Alexandria","153 Buckland St",3,"House",1570000,"https://www.realestate.com.au/126273886"
"Alexandria","205/76 Mitchell Rd",2,"Unit",1285000,"https://www.realestate.com.au/126294122"
"Alexandria","45/9 Newton St",1,"Unit",560000,"https://www.realestate.com.au/126288450"
"Alexandria","181 Belmont St",4,"House",,"https://www.realestate.com.au/126318986"
"Alexandria","174 Wyndham St",3,"House",1770000,"https://www.realestate.com.au/126278910"
"Annandale","48 Wells St",2,"House",,"https://www.realestate.com.au/126232034"
"Annandale","7/76A Alfred St",1,"Unit",598000,"https://www.realestate.com.au/126233762"
"Annandale","32 View St",4,"House",,"https://www.realestate.com.au/126255562"
"Armidale","123 Jeffrey St",3,"House",301000,"https://www.realestate.com.au/126215982"
"Armidale","18 Judith St",3,"House",,"https://www.realestate.com.au/123873458"
"Armidale","39 Kurrawatha Av",2,"House",181000,"https://www.realestate.com.au/125821994"
"Armidale","28A Rockvale Rd",3,"Unit",450000,"https://www.realestate.com.au/126336834"
"Arncliffe","19 Valda Av",2,"House",1730000,"https://www.realestate.com.au/126270714"
"Arncliffe","4/10 Queen St",2,"Unit",,"https://www.realestate.com.au/126300186"
"Artarmon","15/10 Broughton Rd",2,"Unit",1061000,"https://www.realestate.com.au/126311306"
"Artarmon","5B/1 Francis Rd",3,"Unit",,"https://www.realestate.com.au/126246946"
"Ashbury","91 Hay St",3,"House",,"https://www.realestate.com.au/126268110"
"Ashbury","31 Goodlet St",4,"House",1850000,"https://www.realestate.com.au/126228986"
"Ashby","4 Clarence St",3,"House",,"https://www.realestate.com.au/126215698"
"Ashby","248 Murrayville Rd",3,"House",,"https://www.realestate.com.au/126269238"
"Ashfield","16/7A Bruce St",2,"Unit",,"https://www.realestate.com.au/126264298"
"Ashfield","5/37 Alt St",2,"Unit",,"https://www.realestate.com.au/126268106"
"Ashfield","16/121 Bland St",2,"Unit",725000,"https://www.realestate.com.au/126259362"
"Ashfield","16 Goodwin Av",3,"House",1700000,"https://www.realestate.com.au/126287334"
"Ashfield","30 Heighway Av",3,"House",,"https://www.realestate.com.au/126267930"
"Ashfield","36 Palace St",4,"House",1540000,"https://www.realestate.com.au/126247894"
"Ashfield","19 Joseph St",3,"House",1520000,"https://www.realestate.com.au/126242942"
"Auburn","10 Gibbs St",4,"House",715000,"https://www.realestate.com.au/126189334"
"Auburn","5/20 Simpson St",2,"Unit",,"https://www.realestate.com.au/126344138"
"Auburn","7/3 Normanby Rd",2,"Unit",557000,"https://www.realestate.com.au/126292530"
"Avalon Beach","3 The Appian Wy",5,"House",,"https://www.realestate.com.au/126022762"
"Avalon Beach","7 Riverview Rd",3,"House",2600000,"https://www.realestate.com.au/126172538"
"Avalon Beach","127 Cabarita Rd",3,"House",,"https://www.realestate.com.au/126258026"
"Avalon Beach","732 Barrenjoey Rd",6,"House",1550000,"https://www.realestate.com.au/126255298"
"Balgowlah","5/237 Woodland St",3,"Unit",,"https://www.realestate.com.au/126301898"
"Balgowlah Heights","3 Tabalum Rd",4,"House",4100000,"https://www.realestate.com.au/126266314"
"Balgowlah Heights","19 Tutus St",4,"House",3600000,"https://www.realestate.com.au/126218938"
"Ballina","4/25 Fawcett St",0.5,"Unit",,""
"Balmain","2/40 Beattie St",2,"Unit",1330000,"https://www.realestate.com.au/126289522"
"Balmain","5B Tilba Av",5,"Unit",5475000,""
"Balmain East","14 Darling St",3,"House",,"https://www.realestate.com.au/126275662"
"Bangalow","41 Parrot Tree Pl",4,"House",,"https://www.realestate.com.au/126237466"
"Bangalow","6B Cedar Ct",3,"House",,"https://www.realestate.com.au/126237498"
"Bangor","32/17 Bangaroo St",3,"Unit",960000,"https://www.realestate.com.au/126247498"
"Banksia","2 Gardiner Av",3,"House",,"https://www.realestate.com.au/126264662"
"Banksmeadow","3 Dent St",3,"House",,"https://www.realestate.com.au/126280126"
"Bankstown","56/17 Rickard Rd",2,"Unit",,"https://www.realestate.com.au/126292018"
"Bankstown","10/48 Reynolds Av",2,"Unit",461000,"https://www.realestate.com.au/126280498"
"Bankstown","58 Jacobs St",5,"House",1780000,"https://www.realestate.com.au/126266086"
"Bass Hill","53 Robertson Rd",2,"House",810000,"https://www.realestate.com.au/126277482"
"Bass Hill","1 Dawson Pl",3,"House",900000,"https://www.realestate.com.au/126276382"
"Bathurst","27 Charlotte St",3,"House",420000,"https://www.realestate.com.au/126259530"
"Baulkham Hills","70/38 Solent Cct",3,"Unit",,"https://www.realestate.com.au/126192630"
"Baulkham Hills","93A Seven Hills Rd",4,"House",1070000,"https://www.realestate.com.au/126014350"
"Baulkham Hills","4 Karen Ct",4,"House",,"https://www.realestate.com.au/126292914"
"Baulkham Hills","3 Kiah Pl",4,"House",,"https://www.realestate.com.au/126305314"
"Bayview","6 Cabbage Tree Rd",5,"House",,"https://www.realestate.com.au/126279190"
"Beacon Hill","1 Bindi Pl",3,"House",1610000,"https://www.realestate.com.au/126300146"
"Beacon Hill","23 Courtley Rd",4,"House",1710000,"https://www.realestate.com.au/126298330"
"Beacon Hill","32 Reynolds Cr",3,"House",1511000,"https://www.realestate.com.au/126338806"
"Beaumont Hills","1 Compass Av",7,"House",,""
"Beecroft","55 Cardinal Av",3,"House",,"https://www.realestate.com.au/126315866"
"Beecroft","38 Austral Av",3,"House",1525000,"https://www.realestate.com.au/126277018"
"Beecroft","63 Copeland Rd",4,"House",,"https://www.realestate.com.au/126271930"
"Belfield","25 Robinson St",5,"House",2190000,"https://www.realestate.com.au/126217226"
"Belfield","1 Albert St",3,"House",1340000,"https://www.realestate.com.au/126220738"
"Bella Vista","12A Pipersbrook Cr",5,"House",2212000,"https://www.realestate.com.au/126304374"
"Bellevue Hill","11/103A Birriga Rd",1,"Unit",,""
"Bellevue Hill","51 Boronia Rd",5,"House",,""
"Bellevue Hill","2/85 Drumalbyn Rd",2,"Unit",1100000,"https://www.realestate.com.au/126311982"
"Bellevue Hill","4B Bellevue Gdn",3,"House",3700000,"https://www.realestate.com.au/126311518"
"Belmore","30 Liberty St",3,"House",1430000,"https://www.realestate.com.au/126272054"
"Belrose","17 Hews Pde",4,"House",,"https://www.realestate.com.au/126336894"
"Belrose","47 Calool Cr",5,"House",,""
"Belrose","1 Karalta Cr",4,"House",1500000,"https://www.realestate.com.au/126279466"
"Berala","77 Fourth Av",3,"House",1000000,"https://www.realestate.com.au/126270642"
"Berowra","12 Helvetia Av",4,"House",711000,"https://www.realestate.com.au/126322118"
"Beverley Park","11 Marx Av",5,"House",2738000,"https://www.realestate.com.au/126267210"
"Beverley Park","78 Battye Av",4,"House",1600000,"https://www.realestate.com.au/126259706"
"Beverly Hills","34 Pallamana Pde",3,"House",1550000,"https://www.realestate.com.au/126283174"
"Beverly Hills","24/1 Hampden St",2,"Unit",590000,"https://www.realestate.com.au/126270710"
