"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"	Distance
"ABBOTSFORD"	"4/14 Montrose Rd"	2	"Unit"	Price withheld	"https://www.domain.com.au/4-14-montrose-road-abbotsford-nsw-2046-2013909934"	7.4
"ACACIA GARDENS"	"67 Somersby Cct"	3	"House"	Passed In	"https://www.domain.com.au/67-somersby-circuit-acacia-gardens-nsw-2763-2013931544"	31.7
"ALEXANDRIA"	"12/117 Belmont St"	2	"Unit"	950.0	"https://www.domain.com.au/12-117-belmont-street-alexandria-nsw-2015-2013896238"	3.5
"ALEXANDRIA"	"303/123 Wyndham St"	1	"Unit"	623.0	"https://www.domain.com.au/303-123-wyndham-street-alexandria-nsw-2015-2013911766"	3.5
"ALLAMBIE HEIGHTS"	"36 Allenby Park Pde"	4	"House"	1595.0	"https://www.domain.com.au/36-allenby-park-parade-allambie-heights-nsw-2100-2013923828"	12
"ARNCLIFFE"	"6 Realm St"	3	"House"	Passed In	"https://www.domain.com.au/6-realm-street-arncliffe-nsw-2205-2013927489"	9.5
"ARNCLIFFE"	"16 Waratah St"	4	"House"	1950.0	"https://www.domain.com.au/16-waratah-street-arncliffe-nsw-2205-2013896036"	9.5
"ARTARMON"	"9/14-20 Eric Rd"	2	"Unit"	1085.0	"https://www.domain.com.au/9-14-20-eric-road-artarmon-nsw-2064-2013921371"	6.7
"ARTARMON"	"3/4 Palmer St"	2	"Townhouse"	Price withheld	"https://www.domain.com.au/3-4-palmer-street-artarmon-nsw-2064-2013903754"	6.7
"ASHFIELD"	"69/2A Brown St"	1	"Unit"	613.0	"https://www.domain.com.au/69-2a-brown-street-ashfield-nsw-2131-2013909493"	7.9
"AUBURN"	"48 Cardigan St"	5	"House"	1471.0	"https://www.domain.com.au/48-cardigan-st-auburn-nsw-2144-2013909117"	16.2
"AUBURN"	"2-4 Chestnut Rd"	10	"House"	Passed In	"https://www.domain.com.au/2-4-chestnut-road-auburn-nsw-2144-2013912737"	16.2
"AVALON BEACH"	"166 Central Rd"	5	"House"	2650.0	"https://www.domain.com.au/166-central-road-avalon-beach-nsw-2107-2013903252"	28.1
"AVALON BEACH"	"47 Central Rd"	4	"House"	1920.0	"https://www.domain.com.au/47-central-road-avalon-beach-nsw-2107-2013922806"	28.1
"AVALON BEACH"	"59 Dress Circle Rd"	3	"House"	Price withheld	"https://www.domain.com.au/59-dress-circle-road-avalon-beach-nsw-2107-2013913165"	28.1
"AVALON BEACH"	"40 Marine Pde"	4	"House"	3400.0	"https://www.domain.com.au/40-marine-parade-avalon-beach-nsw-2107-2013900267"	28.1
"AVALON BEACH"	"67 Marine Pde"	2	"House"	1650.0	"https://www.domain.com.au/67-marine-parade-avalon-beach-nsw-2107-2013897505"	28.1
"AVOCA BEACH"	"112 Avoca Dr"	4	"House"	Withdrawn	"https://www.domain.com.au/112-avoca-drive-avoca-beach-nsw-2251-2013906187"	49.3
"AVOCA BEACH"	"28 Fairscene Cr"	5	"House"	1590.0	"https://www.domain.com.au/28-fairscene-crescent-avoca-beach-nsw-2251-2013891230"	49.3
"BALGOWLAH"	"8 Brighton St"	4	"House"	2750.0	"https://www.domain.com.au/8-brighton-street-balgowlah-nsw-2093-2013919535"	9.6
"BALGOWLAH"	"11 Seaview St"	4	"House"	2615.0	"https://www.domain.com.au/11-seaview-street-balgowlah-nsw-2093-2013903256"	9.6
"BALGOWLAH"	"6/477 Sydney Rd"	2	"Unit"	815.0	"https://www.domain.com.au/6-477-sydney-road-balgowlah-nsw-2093-2013922779"	9.6
"BALGOWLAH"	"2/17 Wanganella St"	3	"Semi"	1615.0	"https://www.domain.com.au/2-17-wanganella-street-balgowlah-nsw-2093-2013912475"	9.6
"BALGOWLAH HEIGHTS"	"1 Heathcliff Cr"	4	"House"	2400.0	"https://www.domain.com.au/1-heathcliff-crescent-balgowlah-heights-nsw-2093-2013904688"	8.7
"BALMAIN"	"34 Stephen St"	2	"House"	1720.0	"https://www.domain.com.au/34-stephen-street-balmain-nsw-2041-2013920380"	2.9
"BANKSTOWN"	"8 White Av"	5	"House"	1070.0	"https://www.domain.com.au/8-white-avenue-bankstown-nsw-2200-2013911615"	16.9
"BASS HILL"	"31 Beatrice St"	4	"House"	790.0	"https://www.domain.com.au/31-beatrice-street-bass-hill-nsw-2197-2013911700"	19.9
"BAULKHAM HILLS"	"8 Baulkham Hills Rd"	3	"House"	1160.0	"https://www.domain.com.au/8-baulkham-hills-road-baulkham-hills-nsw-2153-2013938549"	23.2
"BAULKHAM HILLS"	"38 Glanmire Rd"	4	"House"	1333.0	"https://www.domain.com.au/38-glanmire-road-baulkham-hills-nsw-2153-2013909127"	23.2
"BAULKHAM HILLS"	"15 Jacaranda Av"	3	"House"	1107.5	"https://www.domain.com.au/15-jacaranda-avenue-baulkham-hills-nsw-2153-2013910996"	23.2
"BAULKHAM HILLS"	"10 Leong Pl"	5	"House"	Passed In	"https://www.domain.com.au/10-leong-place-baulkham-hills-nsw-2153-2013909365"	23.2
"BAULKHAM HILLS"	"30 Reiby Dr"	4	"House"	1350.0	"https://www.domain.com.au/30-reiby-drive-baulkham-hills-nsw-2153-2013913572"	23.2
"BAULKHAM HILLS"	"23/3 The Cottell Wy"	3	"Townhouse"	Passed In	"https://www.domain.com.au/23-3-the-cottell-way-baulkham-hills-nsw-2153-2013914245"	23.2
"BEECROFT"	"23 Blackwood Cl"	5	"House"	Passed In	"https://www.domain.com.au/23-blackwood-cl-beecroft-nsw-2119-2013917860"	18.6
"BEECROFT"	"1D Eldon La"	3	"Townhouse"	1615.0	"https://www.domain.com.au/1d-eldon-lane-beecroft-nsw-2119-2013905449"	18.6
"BEECROFT"	"36A Malton Rd"	4	"House"	Passed In	"https://www.domain.com.au/36a-malton-rd-beecroft-nsw-2119-2013776986"	18.6
"BELMORE"	"5/48 Albert St"	2	"Unit"	Withdrawn	"https://www.domain.com.au/5-48-albert-street-belmore-nsw-2192-2013897952"	12.3
"BELROSE"	"17 Edgewood Pl"	5	"House"	Price withheld	"https://www.domain.com.au/17-edgewood-place-belrose-nsw-2085-2013918781"	14.2
"BELROSE"	"93 Haigh Av"	4	"House"	Withdrawn	"https://www.domain.com.au/93-haigh-avenue-belrose-nsw-2085-2013920258"	14.2
"BELROSE"	"8 Lyndhurst Wy"	5	"House"	2600.0	"https://www.domain.com.au/8-lyndhurst-way-belrose-nsw-2085-2013920107"	14.2
"BELROSE"	"24 Windrush Av"	3	"House"	1600.0	"https://www.domain.com.au/24-windrush-avenue-belrose-nsw-2085-2013913657"	14.2
"BEROWRA HEIGHTS"	"27 Alston Dr"	4	"House"	Passed In	"https://www.domain.com.au/27-alston-drive-berowra-heights-nsw-2082-2013924446"	29.2
"BEROWRA HEIGHTS"	"12 Evelyn Cr"	3	"House"	Withdrawn	"https://www.domain.com.au/12-evelyn-crescent-berowra-heights-nsw-2082-2013924323"	29.2
"BEROWRA HEIGHTS"	"12A Evelyn Cr"	3	"House"	Withdrawn	"https://www.domain.com.au/12a-evelyn-crescent-berowra-heights-nsw-2082-2013924324"	29.2
