"Suburb","Address",Bedroom,"Type",Price,"Link"
"Abbotsford","50 Blackwall Point Rd",3,"House",2050000,"https://www.realestate.com.au/126403562"
"Adamstown","18 Ella St",5,"House",1400000,"https://www.realestate.com.au/126336934"
"Adamstown","137 Lockyer St",3,"House",960000,"https://www.realestate.com.au/126383982"
"Albion Park Rail","96 Maple St",5,"House",737000,"https://www.realestate.com.au/126337442"
"Albury","550 David St",2,"Unit",600000,"https://www.realestate.com.au/126372870"
"Albury","608 Olive St",3,"House",635000,"https://www.realestate.com.au/126384914"
"Alexandria","101/41 Birmingham St",3,"Unit",,"https://www.realestate.com.au/126388878"
"Alexandria","87 Garden St",3,"House",1550000,"https://www.realestate.com.au/126424266"
"Allambie Heights","15 Cornwell Rd",3,"House",1485000,"https://www.realestate.com.au/126424442"
"Allambie Heights","31 Churchill Cr",5,"House",,"https://www.realestate.com.au/126402742"
"Allawah","2/4 Lancelot St",3,"Unit",818800,"https://www.realestate.com.au/126334606"
"Allawah","54 Bellevue Pde",3,"House",1520000,"https://www.realestate.com.au/126421542"
"Allawah","3/4 Lancelot St",2,"Unit",,"https://www.realestate.com.au/126334710"
"Allawah","9/13 Illawarra St",3,"Unit",,"https://www.realestate.com.au/126436114"
"Allawah","4/18 Illawarra St",3,"Unit",745000,"https://www.realestate.com.au/126403862"
"Annandale","74 Young St",3,"House",1885000,"https://www.realestate.com.au/126416866"
"Annandale","5 Ferris St",2,"House",,"https://www.realestate.com.au/126402110"
"Arcadia Vale","34 Arcadia St",3,"House",590000,"https://www.realestate.com.au/126342130"
"Armidale","81 Erskine St",3,"House",,"https://www.realestate.com.au/125401542"
"Armidale","2/2 Bishop Cr",4,"House",,""
"Ashbury","21 Cheviot St",5,"House",,"https://www.realestate.com.au/126324922"
"Ashcroft","12 Parsons St",4,"House",,"https://www.realestate.com.au/126388558"
"Ashfield","24/58 Chandos St",1,"Unit",475000,"https://www.realestate.com.au/126340046"
"Ashfield","2/14 Chandos St",1,"Unit",515000,"https://www.realestate.com.au/126371594"
"Ashfield","16 Rose St",4,"House",1458000,""
"Ashfield","109 Milton St",3,"House",,"https://www.realestate.com.au/126306242"
"Ashfield","1/15 Orpington St",2,"Unit",,"https://www.realestate.com.au/126381046"
"Ashfield","80 Park Av",2,"House",,"https://www.realestate.com.au/126355558"
"Ashfield","14 Elizabeth St",11,"House",,"https://www.realestate.com.au/126382414"
"Auburn","54 Mona St",2,"House",810000,"https://www.realestate.com.au/126403006"
"Austral","370 Edmondson Av",8,"House",,"https://www.realestate.com.au/126268194"
"Avalon Beach","30 Riviera Av",3,"House",1843000,"https://www.realestate.com.au/126328994"
"Avalon Beach","67 Marine Pde",2,"House",1650000,""
"Avalon Beach","41 Careel Head Rd",5,"House",2270000,""
"Avalon Beach","1A George St",5,"House",2000000,"https://www.realestate.com.au/126290250"
"Balgowlah","2/113 Condamine St",2,"House",1565000,"https://www.realestate.com.au/126422870"
"Balgowlah","47 Wanganella St",3,"House",2300000,"https://www.realestate.com.au/126375042"
"Balgowlah","602/7 Sylvan Av",3,"Unit",2415000,"https://www.realestate.com.au/126352238"
"Balgowlah Heights","37 Radio Av",4,"House",2450000,"https://www.realestate.com.au/126321194"
"Ballina","3 Latta Av",3,"House",,""
"Ballina","1/6 Henry Philp Av",10,"Unit",,"https://www.realestate.com.au/126045966"
"Balmain","184 Beattie St",3,"House",,"https://www.realestate.com.au/126422018"
"Balmain","66 Glassop St",4,"House",,"https://www.realestate.com.au/126347362"
"Bangalow","11 Leslie St",3,"House",730000,"https://www.realestate.com.au/126318842"
"Bangor","13/17 Bangaroo St",3,"Unit",875000,"https://www.realestate.com.au/126356786"
"Bangor","18 Yara Cl",4,"House",1140000,"https://www.realestate.com.au/126377854"
"Banksia","39 Lennox St",3,"House",,""
"Banora Point","11 Kinross Cl",4,"House",,"https://www.realestate.com.au/126376202"
"Bass Hill","51 Robertson Rd",4,"House",881000,"https://www.realestate.com.au/126386766"
"Bass Hill","209 Johnston Rd",3,"House",1010000,"https://www.realestate.com.au/126424090"
"Bass Hill","73A Clarke St",3,"House",,"https://www.realestate.com.au/126393994"
"Bateau Bay","25 Mossman Av",3,"House",775000,""
"Batemans Bay","5/15 Crown St",2,"House",140000,"https://www.realestate.com.au/126287134"
"Baulkham Hills","30 Grevillea Gr",4,"House",,"https://www.realestate.com.au/126344850"
"Baulkham Hills","22 Lambert Cr",3,"House",,"https://www.realestate.com.au/126427946"
"Baulkham Hills","11 Lonach Cl",6,"House",1850000,"https://www.realestate.com.au/126389506"
"Bayview","9 Barcoola Pl",5,"House",,"https://www.realestate.com.au/126401586"
"Beacon Hill","10 Spilstead Pl",3,"House",,"https://www.realestate.com.au/126429482"
"Beaconsfield","139 Victoria St",2,"House",1130000,"https://www.realestate.com.au/126373134"
"Beecroft","12 Roselea Wy",5,"House",1635000,"https://www.realestate.com.au/126384094"
"Bellbird","12 Charlton St",4,"House",335000,"https://www.realestate.com.au/126329374"
"Bellevue Hill","1/101 Osullivan Rd",2,"Unit",,"https://www.realestate.com.au/126423282"
"Belmont","20 Green Point Dr",4,"House",,"https://www.realestate.com.au/126385174"
"Belmore","38 Isabel St",4,"House",,"https://www.realestate.com.au/126344890"
"Belmore","194 Burwood Rd",4,"House",1515000,"https://www.realestate.com.au/126384006"
"Belmore","29 Penrose Av",4,"House",,"https://www.realestate.com.au/126367070"
"Belrose","91 Ralston Av",4,"House",,"https://www.realestate.com.au/126413186"
"Belrose","4 Birru Pl",5,"House",1737000,"https://www.realestate.com.au/126413190"
"Bensville","10 Centre St",4,"House",1715000,"https://www.realestate.com.au/126397110"
"Berala","5 Fifth Av",3,"House",1380000,"https://www.realestate.com.au/126389966"
"Berala","37 Sixth Av",3,"House",960000,"https://www.realestate.com.au/126364014"
"Berkeley Vale","251 Lakedge Av",4,"House",960000,"https://www.realestate.com.au/126407974"
"Beverley Park","36 Ercildoune Av",3,"House",,"https://www.realestate.com.au/126383446"
"Beverly Hills","17 Caloola Cr",4,"House",1600000,""
"Beverly Hills","9 Tarrilli St",3,"House",1400000,"https://www.realestate.com.au/126304270"
"Beverly Hills","5 Frederick Av",3,"House",1100000,"https://www.realestate.com.au/126390158"
"Beverly Hills","90 Edgbaston Rd",3,"House",1200000,"https://www.realestate.com.au/126382618"
"Beverly Hills","371 King Georges Rd",3,"House",950000,"https://www.realestate.com.au/126321410"
"Bexley","3/28 Albyn St",2,"Unit",525000,"https://www.realestate.com.au/126322322"
"Bexley","1 Medway St",1,"House",,"https://www.realestate.com.au/126366950"
"Bexley","16 Beaconsfield St",3,"House",1390000,"https://www.realestate.com.au/126377870"
"Bexley","48 Bayview St",3,"House",1180000,"https://www.realestate.com.au/126415674"
