"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"	Distance
"Abbotsford"	"20/156 Hampden Rd"	2	"Unit"		"https://www.realestate.com.au/126441522"	7.4
"Acacia Gardens"	"15 Mapiti Pl"	4	"House"	800000	""	31.7
"Albury"	"517 Cowper St"	3	"House"	472000	"https://www.realestate.com.au/126452146"	un_known
"Alexandria"	"114/141 Mcevoy St"	2	"Unit"	930000	"https://www.realestate.com.au/126471730"	3.5
"Alexandria"	"101/117 Wyndham St"	2	"Unit"	1340000	"https://www.realestate.com.au/126442566"	3.5
"Allambie Heights"	"142 Allambie Rd"	2	"House"	1265000	"https://www.realestate.com.au/126499130"	12
"Allambie Heights"	"24 Smith Av"	3	"House"	1600000	"https://www.realestate.com.au/126456974"	12
"Allambie Heights"	"45 Southern Cross Wy"	4	"House"	2161000	"https://www.realestate.com.au/126483458"	12
"Allambie Heights"	"12 Pozieres Pde"	4	"House"	1760000	"https://www.realestate.com.au/126424062"	12
"Alstonville"	"8/33 Green St"	3	"Unit"		"https://www.realestate.com.au/126149094"	un_known
"Anna Bay"	"6 Tobin La"	4	"House"		"https://www.realestate.com.au/126278726"	un_known
"Annandale"	"19/48 Nelson St"	3	"Unit"		"https://www.realestate.com.au/126311030"	3.7
"Annandale"	"185 Johnston St"	3	"House"	1670000	"https://www.realestate.com.au/126477446"	3.7
"Annandale"	"119 View St"	2	"House"		"https://www.realestate.com.au/126408350"	3.7
"Artarmon"	"3/85 Hampden Rd"	2	"Unit"	846000	"https://www.realestate.com.au/126463662"	6.7
"Ashbury"	"14 First St"	2	"House"	1310000	"https://www.realestate.com.au/126437606"	9
"Ashbury"	"29 Whitfield Av"	3	"House"	1465000	"https://www.realestate.com.au/126418182"	9
"Ashfield"	"803/17 The Esplanade"	3	"Unit"	835000	"https://www.realestate.com.au/126283454"	7.9
"Ashfield"	"4/12 Tintern Rd"	2	"Unit"	980000	"https://www.realestate.com.au/126406066"	7.9
"Ashfield"	"22 Hanks St"	3	"House"	1100000	"https://www.realestate.com.au/126417626"	7.9
"Ashfield"	"10/35 Orpington St"	2	"Unit"	706000	"https://www.realestate.com.au/126439258"	7.9
"Asquith"	"5 Lincoln Cl"	4	"House"		"https://www.realestate.com.au/126414258"	21.9
"Auburn"	"182 Park Rd"	3	"House"	1130000	"https://www.realestate.com.au/502553470"	16.2
"Auburn"	"167 Cumberland Rd"	3	"House"	900000	"https://www.realestate.com.au/126440662"	16.2
"Auburn"	"2 Lily St"	2	"House"	791000	"https://www.realestate.com.au/126272074"	16.2
"Austinmer"	"14 Hill St"	3	"House"		""	82
"Austinmer"	"15 Foothills Rd"	3	"House"	1180000	""	82
"Avalon Beach"	"131 Palmgrove Rd"	3	"House"		"https://www.realestate.com.au/126422014"	28.1
"Avoca Beach"	"24 Chapman Cr"	5	"House"	870000	"https://www.realestate.com.au/126071558"	49.3
"Avoca Beach"	"219 The Round Dr"	3	"House"	900000	"https://www.realestate.com.au/126360526"	49.3
"Aylmerton"	"102 Old Hume Hwy"	4	"House"	5480000	""	un_known
"Balgowlah"	"3/98B Wanganella St"	3	"House"	1851000	"https://www.realestate.com.au/126485646"	9.6
"Balgowlah"	"1/42A White St"	4	"Unit"	1735000	"https://www.realestate.com.au/126441994"	9.6
"Balgowlah Heights"	"59 Beatrice St"	5	"House"		"https://www.realestate.com.au/126433838"	8.7
"Balgownie"	"27 Gore St"	5	"House"	890000	"https://www.realestate.com.au/126452310"	89
"Balmain"	"6A Isabella St"	4	"House"	2150000	"https://www.realestate.com.au/126447266"	2.9
"Balmain"	"4/1 Glassop St"	2	"Unit"		"https://www.realestate.com.au/126456838"	2.9
"Balmain"	"9 Phoebe St"	4	"House"	4750000	"https://www.realestate.com.au/126419858"	2.9
"Balmain East"	"3/86 Darling St"	1	"Unit"		"https://www.realestate.com.au/126476630"	1.8
"Bangalow"	"23 Leslie St"	5	"House"	1150000	"https://www.realestate.com.au/126383150"	765
"Banksia"	"12 Cameron St"	3	"House"	1200000	"https://www.realestate.com.au/126429498"	10.7
"Bankstown"	"43/3 Fetherstone St"	2	"Unit"		""	16.9
"Banora Point"	"15 Blue Haze Cr"	4	"House"		"https://www.realestate.com.au/126150822"	un_known
"Banora Point"	"19 Hibiscus Pde"	3	"House"	645000	"https://www.realestate.com.au/126487538"	un_known
"Banora Point"	"3 Adina Pl"	4	"House"		"https://www.realestate.com.au/125379898"	un_known
"Banora Point"	"58 Amaroo Dr"	5	"House"		"https://www.realestate.com.au/126431738"	un_known
"Bardwell Park"	"6 May St"	4	"House"	1490000	"https://www.realestate.com.au/126453894"	10.4
"Bass Hill"	"37A Orchard Rd"	5	"House"	860000	"https://www.realestate.com.au/126460390"	19.9
"Bateau Bay"	"4 Mermaid Dr"	4	"House"		"https://www.realestate.com.au/126447614"	104
"Bateau Bay"	"23 Rickard St"	4	"House"	730000	"https://www.realestate.com.au/126477706"	104
"Bateau Bay"	"15 Valley View Rd"	3	"House"		"https://www.realestate.com.au/126328074"	104
"Bathurst"	"7/149 Rocket St"	3	"Unit"	445000	"https://www.realestate.com.au/126423666"	200
"Bathurst"	"171 Havannah St"	3	"House"		"https://www.realestate.com.au/126425618"	200
"Baulkham Hills"	"14/18 Pearce St"	3	"Unit"		"https://www.realestate.com.au/126459254"	23.2
"Baulkham Hills"	"25 Canyon Rd"	5	"House"	1190000	"https://www.realestate.com.au/126437586"	23.2
"Baulkham Hills"	"12/65 Seven Hills Rd"	3	"Unit"	855000	"https://www.realestate.com.au/126440918"	23.2
"Baulkham Hills"	"14 Ula Cr"	3	"House"	1205000	"https://www.realestate.com.au/126441186"	23.2
"Bayview"	"2041 Pittwater Rd"	5	"House"		""	24.5
"Beacon Hill"	"7 Landy Pl"	4	"House"	1675000	"https://www.realestate.com.au/126469410"	13.7
"Beacon Hill"	"22 Tristram Rd"	5	"House"		"https://www.realestate.com.au/126421578"	13.7
"Beecroft"	"33 York St"	5	"House"	2100000	"https://www.realestate.com.au/126448494"	18.6
"Beecroft"	"53 Lamorna Av"	4	"House"		""	18.6
"Beecroft"	"82 Lamorna Av"	5	"House"	2200000	"https://www.realestate.com.au/126426802"	18.6
"Beecroft"	"36 Cardinal Av"	4	"House"		"https://www.realestate.com.au/126424782"	18.6
"Belfield"	"3/101 Madeline St"	2	"Unit"	695000	"https://www.realestate.com.au/126440098"	12
"Belfield"	"25A Boronia St"	5	"House"		"https://www.realestate.com.au/126382138"	12
"Bella Vista"	"12/103 Bella Vista Dr"	4	"Unit"	956000	"https://www.realestate.com.au/126435034"	27.4
"Bella Vista"	"21 Bimbadgen Pl"	4	"House"	2700000	"https://www.realestate.com.au/126435242"	27.4
"Bellevue Hill"	"3/35 Birriga Rd"	2	"Unit"		""	5.3
"Bellevue Hill"	"2/134 Old South Head Rd"	3	"Unit"		""	5.3
"Bellevue Hill"	"4 Riddell St"	4	"House"	3620000	"https://www.realestate.com.au/126486198"	5.3
"Belmont"	"2 Seafarer Cl"	4	"House"		"https://www.realestate.com.au/126463758"	un_known
"Belmore"	"35 Paxton Av"	3	"House"	1000000	""	12.3
"Beverley Park"	"35 Marx Av"	2	"House"	1481000	"https://www.realestate.com.au/126449354"	13.9
"Beverly Hills"	"35 Edgbaston Rd"	8	"House"		"https://www.realestate.com.au/126431046"	14.7
"Bexhill"	"18 Julieanne Pl"	3	"House"		"https://www.realestate.com.au/126365286"	un_known
"Bexley"	"6/39 Harrow Rd"	2	"Unit"	593000	"https://www.realestate.com.au/126463086"	11.7
"Bilgola Plateau"	"73 The Outlook"	4	"House"	1800000	"https://www.realestate.com.au/126362362"	38
"Blacktown"	"2/31 Third Av"	0.5	"Unit"	395000	""	29.6
"Blacktown"	"5 Blue Hills Cr"	3	"House"	700000	"https://www.realestate.com.au/126447994"	29.6
"Blacktown"	"30 Booreea St"	5	"House"	935000	"https://www.realestate.com.au/126390990"	29.6
"Blacktown"	"11 Newhaven Av"	4	"House"	1015000	"https://www.realestate.com.au/126379706"	29.6
"Blair Athol"	"11 St Stephen Rd"	5	"House"		"https://www.realestate.com.au/126427726"	43
"Bomaderry"	"21 Bowada St"	5	"House"		"https://www.realestate.com.au/126453354"	un_known
