"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"	Distance
"ABBOTSFORD"	"397 Great North Rd"	7	"House"	Passed In	"https://www.domain.com.au/397-great-north-road-abbotsford-nsw-2046-2013931801"	7.4
"ABBOTSFORD"	"1/17 Rokeby Rd"	2	"Unit"	910.0	"https://www.domain.com.au/1-17-rokeby-road-abbotsford-nsw-2046-2013963654"	7.4
"ALEXANDRIA"	"288 Belmont St"	4	"House"	2050.0	"https://www.domain.com.au/288-belmont-street-alexandria-nsw-2015-2013976839"	3.5
"ALFORDS POINT"	"127 Brushwood Dr"	5	"House"	1605.0	"https://www.domain.com.au/127-brushwood-drive-alfords-point-nsw-2234-2013950989"	21.9
"ALLAMBIE HEIGHTS"	"44 Churchill Cr"	5	"House"	2350.0	"https://www.domain.com.au/44-churchill-crescent-allambie-heights-nsw-2100-2013974851"	12
"ALLAWAH"	"96A Bellevue Pde"	4	"House"	1250.0	"https://www.domain.com.au/96a-bellevue-parade-allawah-nsw-2218-2013966038"	14.3
"ANNANDALE"	"16/143 Trafalgar St"	2	"Townhouse"	Price withheld	"https://www.domain.com.au/16-143-trafalgar-street-annandale-nsw-2038-2013966595"	3.7
"ARTARMON"	"3/148 Hampden Rd"	2	"Unit"	Passed In	"https://www.domain.com.au/3-148-hampden-road-artarmon-nsw-2064-2013962822"	6.7
"ASHBURY"	"2 Melville St"	3	"House"	1260.0	"https://www.domain.com.au/2-melville-street-ashbury-nsw-2193-2013971472"	9
"ASHBURY"	"6a Whitfield Av"	4	"Duplex"	Passed In	"https://www.domain.com.au/6a-whitfield-avenue-ashbury-nsw-2193-2013953984"	9
"ASHFIELD"	"7/74 Alt St"	1	"Unit"	530.0	"https://www.domain.com.au/7-74-alt-street-ashfield-nsw-2131-2013967328"	7.9
"ASHFIELD"	"2/4 Church St"	2	"Unit"	640.0	"https://www.domain.com.au/2-4-church-street-ashfield-nsw-2131-2013984151"	7.9
