"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"
"ABBOTSBURY"	"6 Glenton St"	3	"House"	861.0	"https://www.domain.com.au/6-glenton-street-abbotsbury-nsw-2176-2013814669"
"ABBOTSFORD"	"5/46 St Albans St"	2	"Townhouse"	1180.0	"https://www.domain.com.au/5-46-st-albans-street-abbotsford-nsw-2046-2013814954"
"ALEXANDRIA"	"153 Buckland St"	3	"House"	1570.0	"https://www.domain.com.au/153-buckland-street-alexandria-nsw-2015-2013815007"
"ALEXANDRIA"	"7/133-137 Mitchell Rd"	2	"Unit"	830.0	"https://www.domain.com.au/7-133-137-mitchell-road-alexandria-nsw-2015-2013819790"
"ALEXANDRIA"	"205/76 Mitchell Rd"	2	"Unit"	1285.0	"https://www.domain.com.au/205-76-mitchell-road-alexandria-nsw-2015-2013821266"
"ALEXANDRIA"	"174 Wyndham St"	3	"House"	Passed In	"https://www.domain.com.au/174-wyndham-street-alexandria-nsw-2015-2013816947"
"ANNANDALE"	"229A Young St"	4	"House"	2160.0	"https://www.domain.com.au/229a-young-street-annandale-nsw-2038-2013825977"
"ARNCLIFFE"	"19 Valda Av"	2	"House"	1730.0	"https://www.domain.com.au/19-valda-ave-arncliffe-nsw-2205-2013813646"
"ARTARMON"	"15/10 Broughton Rd"	2	"Unit"	1061.0	"https://www.domain.com.au/15-10-broughton-road-artarmon-nsw-2064-2013826384"
"ASHBURY"	"31 Goodlet St"	4	"House"	Passed In	"https://www.domain.com.au/31-goodlet-street-ashbury-nsw-2193-2013802061"
"ASHFIELD"	"16/121-125 Bland St"	2	"Unit"	Price withheld	"https://www.domain.com.au/16-121-125-bland-street-ashfield-nsw-2131-2013813566"
"ASHFIELD"	"16 Goodwin Av"	3	"House"	Passed In	"https://www.domain.com.au/16-goodwin-avenue-ashfield-nsw-2131-2013819470"
"ASHFIELD"	"30 Heighway Av"	3	"House"	Passed In	"https://www.domain.com.au/30-heighway-ave-ashfield-nsw-2131-2013812908"
"ASHFIELD"	"19 Joseph St"	3	"House"	1520.0	"https://www.domain.com.au/19-joseph-street-ashfield-nsw-2131-2013805740"
"ASHFIELD"	"36 Palace St"	4	"Duplex"	1540.0	"https://www.domain.com.au/36-palace-street-ashfield-nsw-2131-2013807034"
"AUBURN"	"10 Gibbs St"	3	"House"	715.0	"https://www.domain.com.au/10-gibbs-st-auburn-nsw-2144-2013791463"
"AUBURN"	"7/3-11 Normanby Rd"	2	"Unit"	557.0	"https://www.domain.com.au/7-3-11-normanby-road-auburn-nsw-2144-2013820951"
"AVALON BEACH"	"7 Riverview Rd"	3	"House"	2600.0	"https://www.domain.com.au/7-riverview-road-avalon-beach-nsw-2107-2013815525"
"AVALON BEACH"	"9 Sanctuary Av"	3	"House"	1420.0	"https://www.domain.com.au/9-sanctuary-avenue-avalon-beach-nsw-2107-2013815528"
"BALGOWLAH"	"1/428 Sydney Rd"	3	"Unit"	1230.0	"https://www.domain.com.au/1-428-sydney-road-balgowlah-nsw-2093-2013822257"
"BALGOWLAH HEIGHTS"	"3 Tabalum Rd"	4	"House"	4100.0	"https://www.domain.com.au/3-tabalum-road-balgowlah-heights-nsw-2093-2013812401"
"BALGOWLAH HEIGHTS"	"19 Tutus St"	4	"House"	3600.0	"https://www.domain.com.au/19-tutus-street-balgowlah-heights-nsw-2093-2013799049"
"BALMAIN"	"2/40 Beattie St"	2	"Terrace"	1330.0	"https://www.domain.com.au/2-40-beattie-street-balmain-nsw-2041-2013820043"
"BANGOR"	"32/17-33 Bangaroo St"	3	"Villa"	960.0	"https://www.domain.com.au/32-17-33-bangaroo-street-bangor-nsw-2234-2013807074"
"BANGOR"	"105 Billa Rd"	6	"House"	1300.0	"https://www.domain.com.au/105-billa-road-bangor-nsw-2234-2013811323"
"BANKSTOWN"	"10/48 Reynolds Av"	2	"Unit"	461.0	"https://www.domain.com.au/10-48-reynolds-ave-bankstown-nsw-2200-2013817423"
"BASS HILL"	"1 Dawson Pl"	3	"House"	900.0	"https://www.domain.com.au/1-dawson-place-bass-hill-nsw-2197-2013815346"
