"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"	Distance
"Abbotsbury"	"16 Pendlebury Pl"	4	"House"		"https://www.realestate.com.au/126659170"	31.3
"Abbotsford"	"8/3 Harbourview Cr"	3	"Unit"		"https://www.realestate.com.au/126600530"	7.4
"Abbotsford"	"10 Tyler Cr"	0.5	"House"		""	7.4
"Acacia Gardens"	"24 Crestreef Dr"	5	"House"		"https://www.realestate.com.au/126647922"	31.7
"Acacia Gardens"	"67 Somersby Cct"	3	"House"		"https://www.realestate.com.au/126609470"	31.7
"Adamstown"	"12 Brisbane Water Rd"	4	"House"	1045000	"https://www.realestate.com.au/126619698"	166
"Adamstown Heights"	"14 Muraban St"	3	"House"	650000	"https://www.realestate.com.au/126561390"	un_known
"Albion Park Rail"	"86 Jarrah Wy"	4	"House"	650000	"https://www.realestate.com.au/126612154"	un_known
"Alexandria"	"303/123 Wyndham St"	1	"Unit"	623000	"https://www.realestate.com.au/126620394"	3.5
"Alexandria"	"7/2 Lawrence St"	3	"Unit"		"https://www.realestate.com.au/126621866"	3.5
"Alexandria"	"318/222 Botany Rd"	1	"Unit"		"https://www.realestate.com.au/126609914"	3.5
"Alexandria"	"12/117 Belmont St"	2	"Unit"	950000	"https://www.realestate.com.au/126562442"	3.5
"Allambie Heights"	"36 Allenby Park Pde"	4	"House"	1595000	"https://www.realestate.com.au/126660746"	12
"Annandale"	"219 Johnston St"	4	"House"		"https://www.realestate.com.au/126619702"	3.7
"Armidale"	"63 Newton St"	4	"House"		"https://www.realestate.com.au/124820406"	482
"Arncliffe"	"16 Waratah St"	4	"House"	1950000	"https://www.realestate.com.au/126560706"	9.5
"Arncliffe"	"6 Realm St"	3	"House"	1200000	"https://www.realestate.com.au/126673786"	9.5
"Artarmon"	"16/5 Broughton Rd"	2	"Unit"		"https://www.realestate.com.au/126659894"	6.7
"Artarmon"	"3/4 Palmer St"	2	"Unit"	1160000	"https://www.realestate.com.au/126589682"	6.7
"Artarmon"	"9/14 Eric Rd"	2	"Unit"	1085000	"https://www.realestate.com.au/126651702"	6.7
"Ashbury"	"56 Cheviot St"	4	"House"		"https://www.realestate.com.au/126610834"	9
"Ashbury"	"15 Trevenar St"	2	"House"		"https://www.realestate.com.au/126628406"	9
"Ashfield"	"20/21 Ormond St"	2	"Unit"	815000	"https://www.realestate.com.au/126606770"	7.9
"Ashfield"	"69/2A Brown St"	1	"Unit"	613000	"https://www.realestate.com.au/126611202"	7.9
"Ashfield"	"10/16 Brunswick Pde"	4	"Unit"		"https://www.realestate.com.au/126619950"	7.9
"Ashfield"	"4/28 Tintern Rd"	1	"Unit"		"https://www.realestate.com.au/126591906"	7.9
"Auburn"	"48 Cardigan St"	5	"House"	1471000	"https://www.realestate.com.au/126609658"	16.2
"Avalon Beach"	"120 Avalon Pde"	4	"House"		"https://www.realestate.com.au/126626862"	28.1
"Avalon Beach"	"22 Tasman Rd"	5	"House"		"https://www.realestate.com.au/126570830"	28.1
"Avalon Beach"	"59 Dress Circle Rd"	3	"House"		"https://www.realestate.com.au/126624810"	28.1
"Avalon Beach"	"40 Marine Pde"	4	"House"	3400000	"https://www.realestate.com.au/126574794"	28.1
"Avalon Beach"	"47 Central Rd"	4	"House"		"https://www.realestate.com.au/126657302"	28.1
"Avoca Beach"	"112 Avoca Dr"	4	"House"		"https://www.realestate.com.au/126598574"	49.3
"Bagotville"	"350 Old Bagotville Rd"	4	"House"	555000	""	un_known
"Balgowlah"	"2/17 Wanganella St"	3	"Unit"	1615000	"https://www.realestate.com.au/126621014"	9.6
"Balgowlah"	"49 White St"	4	"House"		"https://www.realestate.com.au/126637146"	9.6
"Balgowlah"	"103 West St"	3	"House"	2100000	"https://www.realestate.com.au/126637714"	9.6
"Balgowlah"	"8 Brighton St"	4	"House"	2750000	"https://www.realestate.com.au/126643870"	9.6
"Balgowlah Heights"	"22 Condamine St"	3	"House"		"https://www.realestate.com.au/126628434"	8.7
"Balgownie"	"1 Cole St"	3	"House"	750000	"https://www.realestate.com.au/126610690"	89
"Balgownie"	"37 Rae Cr"	4	"House"	850000	"https://www.realestate.com.au/126623102"	89
"Balmain"	"49 Evans St"	1	"House"		"https://www.realestate.com.au/126635886"	2.9
"Balmain"	"34 Stephen St"	2	"House"	1720000	"https://www.realestate.com.au/126635890"	2.9
"Balmain"	"13 Wells St"	3	"House"		"https://www.realestate.com.au/126600934"	2.9
"Balmain East"	"5/24A Pearson St"	2	"Unit"		"https://www.realestate.com.au/126597614"	1.8
"Balmain East"	"8 Brett Av"	5	"House"		"https://www.realestate.com.au/126594258"	1.8
"Bangor"	"3 Yala Rd"	4	"House"		""	23.5
"Banksia"	"25 Tabrett St"	2	"House"		"https://www.realestate.com.au/126625570"	10.7
"Bankstown"	"8 White Av"	5	"House"	1070000	"https://www.realestate.com.au/126619614"	16.9
"Banora Point"	"3 Dolphin Pl"	4	"House"		"https://www.realestate.com.au/126569862"	un_known
"Barden Ridge"	"7 Atkins Pl"	5	"House"		"https://www.realestate.com.au/126624350"	26.2
"Bardwell Valley"	"44 Dowling St"	4	"House"		"https://www.realestate.com.au/126626750"	10.1
"Bass Hill"	"31 Beatrice St"	4	"House"	790000	"https://www.realestate.com.au/126619602"	19.9
"Bass Hill"	"356 Hector St"	2	"House"		"https://www.realestate.com.au/126613718"	19.9
"Bateau Bay"	"552 The Entrance Rd"	2	"House"		"https://www.realestate.com.au/126581406"	104
"Bateau Bay"	"554 The Entrance Rd"	2	"House"		"https://www.realestate.com.au/126581270"	104
"Baulkham Hills"	"14 Mullane Av"	5	"House"		""	23.2
"Baulkham Hills"	"10 Valerie Av"	5	"House"		""	23.2
"Baulkham Hills"	"5 Gooden Dr"	4	"House"	1312000	""	23.2
"Baulkham Hills"	"74 Kalimna Dr"	4	"House"		"https://www.realestate.com.au/126574610"	23.2
"Baulkham Hills"	"3 Atkins Ct"	4	"House"	1390000	"https://www.realestate.com.au/126652530"	23.2
"Baulkham Hills"	"10 Leong Pl"	5	"House"	1590000	"https://www.realestate.com.au/126610742"	23.2
"Baulkham Hills"	"38 Glanmire Rd"	4	"House"	1330000	"https://www.realestate.com.au/126609570"	23.2
"Baulkham Hills"	"8 Baulkham Hills Rd"	3	"House"	1160000	"https://www.realestate.com.au/126714402"	23.2
"Baulkham Hills"	"17 Lambert Cr"	4	"House"		""	23.2
"Baulkham Hills"	"15 Jacaranda Av"	3	"House"	1107500	"https://www.realestate.com.au/126616782"	23.2
"Beacon Hill"	"29 Cooper Cl"	3	"House"		"https://www.realestate.com.au/126581494"	13.7
"Beaumont Hills"	"23 Sanctuary Dr"	5	"House"		"https://www.realestate.com.au/126637038"	30.2
"Beecroft"	"23 Blackwood Cl"	5	"House"	2389000	"https://www.realestate.com.au/126642590"	18.6
"Beecroft"	"36A Malton Rd"	4	"House"	2200000	"https://www.realestate.com.au/126135918"	18.6
"Beecroft"	"1D Eldon La"	3	"Unit"	1615000	"https://www.realestate.com.au/126595602"	18.6
"Bega"	"125 Ravenswood St"	4	"House"	515000	"https://www.realestate.com.au/126616102"	un_known
"Bega"	"2 Parbery Cr"	4	"House"	320000	"https://www.realestate.com.au/126613538"	un_known
"Bega"	"5 Blacket La"	4	"House"		"https://www.realestate.com.au/126614402"	un_known
"Belfield"	"14A Burwood Rd"	0.5	"House"	1390000	""	12
"Belfield"	"75 Burwood Rd"	4	"House"		"https://www.realestate.com.au/126513734"	12
"Bellevue Hill"	"66/177 Bellevue Rd"	1	"Unit"	695000	"https://www.realestate.com.au/125933058"	5.3
"Bellevue Hill"	"4/74 Drumalbyn Rd"	4	"Unit"		"https://www.realestate.com.au/126616822"	5.3
"Bellevue Hill"	"10/32 Bellevue Rd"	2	"Unit"	970000	"https://www.realestate.com.au/126620342"	5.3
"Bellevue Hill"	"120 Bellevue Rd"	5	"House"		"https://www.realestate.com.au/502585694"	5.3
"Bellevue Hill"	"2 Latimer Rd"	5	"House"		"https://www.realestate.com.au/126578670"	5.3
"Bellevue Hill"	"6/2A Birriga Rd"	3	"Unit"		"https://www.realestate.com.au/126465870"	5.3
"Belmore"	"5/48 Albert St"	2	"Unit"		"https://www.realestate.com.au/126569410"	12.3
"Belmore"	"7 Eleanor Av"	4	"House"		"https://www.realestate.com.au/126506862"	12.3
"Belrose"	"11 Dawes Rd"	3	"House"	2000000	"https://www.realestate.com.au/126635350"	14.2
"Belrose"	"60 Ashworth Av"	5	"House"		"https://www.realestate.com.au/126592646"	14.2
"Belrose"	"17 Edgewood Pl"	5	"House"		"https://www.realestate.com.au/126627026"	14.2
"Belrose"	"93 Haigh Av"	4	"House"		"https://www.realestate.com.au/126647970"	14.2
"Belrose"	"8 Lyndhurst Wy"	5	"House"	2600000	"https://www.realestate.com.au/126644322"	14.2
"Belrose"	"24 Windrush Av"	3	"House"	1600000	"https://www.realestate.com.au/126624770"	14.2
"Berala"	"38 Lillian St"	5	"House"		"https://www.realestate.com.au/126545974"	16.3
"Berkeley"	"32 Illawon St"	3	"House"	450000	"https://www.realestate.com.au/126613042"	un_known
"Berkeley Vale"	"229 Lakedge Av"	4	"House"		"https://www.realestate.com.au/126617906"	92.6
"Berkeley Vale"	"23 Kingsford Smith Dr"	2	"House"		"https://www.realestate.com.au/126614842"	92.6
"Berowra Heights"	"12 Evelyn Cr"	3	"House"		"https://www.realestate.com.au/126662670"	29.2
"Berowra Heights"	"12A Evelyn Cr"	3	"House"		"https://www.realestate.com.au/126662694"	29.2
"Berowra Heights"	"20 Evelyn Cr"	3	"House"		"https://www.realestate.com.au/126639894"	29.2
"Bexley"	"63 Bayview St"	3	"House"		"https://www.realestate.com.au/126615818"	11.7
"Bexley"	"6/4 Oriental St"	3	"Unit"		"https://www.realestate.com.au/126506246"	11.7
"Bexley"	"446 Bexley Rd"	4	"House"	1315000	"https://www.realestate.com.au/126613414"	11.7
"Bexley"	"16 Lymington St"	6	"House"		"https://www.realestate.com.au/126623054"	11.7
"Bexley"	"57 Ada St"	5	"House"		"https://www.realestate.com.au/126618586"	11.7
"Bilgola Plateau"	"49 Raymond Rd"	4	"House"	1640000	"https://www.realestate.com.au/126601670"	38
"Bilgola Plateau"	"11 Loombah St"	2	"House"		"https://www.realestate.com.au/126653042"	38
"Billywillinga"	"68 Billywillinga Rd"	5	"House"	770000	""	un_known
"Birchgrove"	"178 Short St"	3	"House"		"https://www.realestate.com.au/126524478"	2.9
"Birchgrove"	"23 Dock Rd"	3	"House"		"https://www.realestate.com.au/126634610"	2.9
"Birchgrove"	"19 Dock Rd"	2	"House"		"https://www.realestate.com.au/126628378"	2.9
"Birrong"	"75 Cooper Rd"	5	"House"		"https://www.realestate.com.au/126620126"	17.2
"Birrong"	"11 Neutral Av"	3	"House"		""	17.2
"Blacktown"	"17 Sullivan St"	4	"House"		"https://www.realestate.com.au/126580186"	29.6
"Blacktown"	"81 William St"	4	"House"		"https://www.realestate.com.au/126634942"	29.6
"Blacktown"	"62 Allawah St"	2	"House"		"https://www.realestate.com.au/126623402"	29.6
"Blacktown"	"2 Burrell Pde"	5	"House"		"https://www.realestate.com.au/126650322"	29.6
"Blacktown"	"3 Blue Hills Cr"	2	"House"	755000	"https://www.realestate.com.au/126639906"	29.6
"Blakehurst"	"37 Walton St"	2	"House"	1465000	"https://www.realestate.com.au/126613614"	16.1
"Blue Bay"	"1 Werrina Pde"	5	"House"	2225000	"https://www.realestate.com.au/126609274"	un_known
"Boambee"	"285A Middle Boambee Rd"	7	"House"		"https://www.realestate.com.au/126645802"	un_known
"Boambee East"	"113 Linden Av"	4	"House"		"https://www.realestate.com.au/125799778"	un_known
"Bondi"	"14/14 Edward St"	2	"Unit"	1350000	"https://www.realestate.com.au/126595170"	5.9
"Bondi"	"1/15 New St"	3	"House"		""	5.9
"Bondi"	"17/54 Penkivil St"	2	"Unit"	1025000	"https://www.realestate.com.au/126662650"	5.9
"Bondi"	"81 Watson St"	4	"House"		"https://www.realestate.com.au/126601466"	5.9
"Bondi Beach"	"9/3 Cox Av"	2	"Unit"		"https://www.realestate.com.au/126476326"	6.8
"Bondi Beach"	"8/232 Campbell Pde"	3	"Unit"		""	6.8
"Bondi Beach"	"6/150 Wellington St"	2	"Unit"		"https://www.realestate.com.au/126602910"	6.8
"Bondi Beach"	"4/6 Jacques Av"	2	"Unit"		"https://www.realestate.com.au/126660822"	6.8
"Bondi Junction"	"45/42 Waverley St"	4	"Unit"		"https://www.realestate.com.au/126603458"	4.7
"Bondi Junction"	"53 Ebley St"	3	"House"	1600000	"https://www.realestate.com.au/126658334"	4.7
"Bondi Junction"	"409/80 Ebley St"	1	"Unit"	1150000	"https://www.realestate.com.au/126659366"	4.7
"Bondi Junction"	"7D/7 Botany St"	2	"Unit"		"https://www.realestate.com.au/126364766"	4.7
"Bondi Junction"	"92 Birrell St"	4	"House"	2280000	"https://www.realestate.com.au/126643122"	4.7
"Bonnet Bay"	"23 Tudar Rd"	5	"House"	1410000	""	21.2
"Borambola"	"179 Martins Rd"	4	"House"	1680000	""	un_known
"Bossley Park"	"15 Knowles Pl"	5	"House"		"https://www.realestate.com.au/126663306"	29.8
"Bossley Park"	"11 Glen Davis Av"	5	"House"	850000	"https://www.realestate.com.au/126623442"	29.8
"Bossley Park"	"4 Lorne Pl"	3	"House"	788000	"https://www.realestate.com.au/126616254"	29.8
"Bossley Park"	"13 Wallaby Cl"	4	"House"		"https://www.realestate.com.au/126620958"	29.8
"Bossley Park"	"9 Seymour Pl"	3	"House"	835000	"https://www.realestate.com.au/126618246"	29.8
"Bossley Park"	"8 Castlereagh St"	6	"House"		"https://www.realestate.com.au/126649254"	29.8
"Botany"	"10/25 Chelmsford Av"	2	"Unit"		"https://www.realestate.com.au/126543806"	8.7
"Botany"	"29 Cranbrook St"	3	"House"	1525000	"https://www.realestate.com.au/126634594"	8.7
"Botany"	"2B/17 William St"	2	"House"	1040000	"https://www.realestate.com.au/126513098"	8.7
"Botany"	"5607/42 Pemberton St"	2	"Unit"		""	8.7
"Botany"	"13/1421 Botany Rd"	1	"Unit"	730000	"https://www.realestate.com.au/126660962"	8.7
