"Suburb","Address",Bedroom,"Type",Price,"Link"
"Abbotsford","5/46 St Albans St",2,"Unit",1180000,""
"Alexandria","22/33 Euston Rd",2,"Unit",,"https://www.realestate.com.au/126320706"
"Alexandria","A11/252 Botany Rd",1,"Unit",,"https://www.realestate.com.au/126348358"
"Alexandria","97 Lawrence St",3,"House",,"https://www.realestate.com.au/126328002"
"Alexandria","158 Lawrence St",2,"House",1225000,"https://www.realestate.com.au/126327986"
"Alfords Point","23 Coachwood Cr",4,"House",1302000,""
"Allambie Heights","8/39 Kentwell Rd",4,"Unit",,"https://www.realestate.com.au/126338978"
"Allambie Heights","15/46 Kentwell Rd",1,"Unit",,"https://www.realestate.com.au/126306350"
"Allambie Heights","38 Maroa Cr",3,"House",,"https://www.realestate.com.au/126352934"
"Allambie Heights","40 Pozieres Pde",3,"House",,"https://www.realestate.com.au/125720094"
"Allawah","3/4 Lancelot St",2,"Unit",728000,""
"Allawah","2/4 Lancelot St",3,"Unit",818800,""
"Arncliffe","27 Mt St",4,"House",,""
"Artarmon","9/41 Broughton Rd",3,"Unit",,"https://www.realestate.com.au/126362414"
"Artarmon","11/14 Eric Rd",3,"Unit",1439000,"https://www.realestate.com.au/126404750"
"Ashfield","5/14 The Avenue",2,"Unit",690000,"https://www.realestate.com.au/126313814"
"Ashfield","1/7 The Avenue",2,"Unit",685000,"https://www.realestate.com.au/126313594"
"Ashfield","109/2A Brown St",1,"Unit",644000,"https://www.realestate.com.au/126313826"
"Austral","370 Edmondson Av",8,"House",,""
"Avalon Beach","29 Plateau Rd",3,"House",,""
"Avalon Beach","18 Harley Rd",4,"House",,"https://www.realestate.com.au/126032506"
"Avalon Beach","33A Queens Av",5,"House",,"https://www.realestate.com.au/126246942"
"Balgowlah","98B Wanganella St",3,"Unit",1851000,""
"Balmain","29 Wortley St",4,"House",2857000,"https://www.realestate.com.au/126324430"
"Balmain","35 Phillip St",3,"House",,"https://www.realestate.com.au/126335998"
"Balmain","9 Theodore St",5,"House",,"https://www.realestate.com.au/126176906"
"Bateau Bay","29 Shakespeare Av",4,"House",870000,"https://www.realestate.com.au/126060966"
"Bateau Bay","4 Mermaid Dr",4,"House",810000,""
"Baulkham Hills","20 Gooden Dr",5,"House",1075000,"https://www.realestate.com.au/126344310"
"Baulkham Hills","63 Mackillop Dr",4,"House",1400000,"https://www.realestate.com.au/126355470"
"Baulkham Hills","4/32 Linton St",3,"Unit",,"https://www.realestate.com.au/126391962"
"Beaumont Hills","25 Hadley Cct",5,"House",1390000,"https://www.realestate.com.au/126338898"
"Beecroft","55 Cardinal Av",3,"House",1420000,""
"Bellevue Hill","15 March St",6,"House",,"https://www.realestate.com.au/126327234"
"Bellevue Hill","3/1 Latimer Rd",2,"Unit",,"https://www.realestate.com.au/126279346"
"Belmont","38 Crown St",4,"House",,"https://www.realestate.com.au/126319034"
"Belrose","76A Haigh Av",4,"House",1750000,"https://www.realestate.com.au/126356478"
"Belrose","17 Camira Cl",4,"House",1941500,"https://www.realestate.com.au/126356470"
"Beverly Hills","72 Welfare Av S",3,"House",1300000,"https://www.realestate.com.au/126282750"
"Beverly Hills","371 King Georges Rd",3,"House",950000,""
