"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"	Distance
"ABBOTSFORD"	"22 Altona St"	3	"House"	2300.0	"https://www.domain.com.au/22-altona-street-abbotsford-nsw-2046-2013946529"	7.4
"ABBOTSFORD"	"8/156 Hampden Rd"	2	"Unit"	Price withheld	"https://www.domain.com.au/8-156-hampden-road-abbotsford-nsw-2046-2013918833"	7.4
"AIRDS"	"185 Riverside Dr"	3	"House"	510.0	"https://www.domain.com.au/185-riverside-drive-airds-nsw-2560-2013945257"	42.4
"ALEXANDRIA"	"286 Belmont St"	2	"House"	Price withheld	"https://www.domain.com.au/286-belmont-street-alexandria-nsw-2015-2013954448"	3.5
"ALEXANDRIA"	"21/44-58 Belmont St"	2	"Unit"	965.0	"https://www.domain.com.au/21-58-belmont-street-alexandria-nsw-2015-2013952732"	3.5
"ALEXANDRIA"	"72 Garden St"	2	"House"	1330.0	"https://www.domain.com.au/72-garden-street-alexandria-nsw-2015-2013940866"	3.5
"ALEXANDRIA"	"M207/68 McEvoy St"	2	"Unit"	800.0	"https://www.domain.com.au/m207-68-mcevoy-street-alexandria-nsw-2015-2013951658"	3.5
"ALLAWAH"	"4/67 Illawarra St"	4	"Unit"	Passed In	"https://www.domain.com.au/4-67-illawarra-street-allawah-nsw-2218-2013959980"	14.3
"ARNCLIFFE"	"34 Roach St"	3	"House"	1260.0	"https://www.domain.com.au/34-roach-st-arncliffe-nsw-2205-2013951865"	9.5
"ARTARMON"	"19 Carlos Rd"	3	"House"	Price withheld	"https://www.domain.com.au/19-carlos-road-artarmon-nsw-2064-2013963093"	6.7
"ARTARMON"	"23/21 Eric Rd"	2	"Unit"	Price withheld	"https://www.domain.com.au/23-21-eric-road-artarmon-nsw-2064-2013956384"	6.7
"ARTARMON"	"1006/4 Francis Rd"	2	"Unit"	Price withheld	"https://www.domain.com.au/1006-4-francis-road-artarmon-nsw-2064-2013956368"	6.7
"ASHBURY"	"149 Holden St"	3	"House"	1700.0	"https://www.domain.com.au/149-holden-street-ashbury-nsw-2193-2013945569"	9
"ASHFIELD"	"10 Earle Av"	3	"House"	1580.0	"https://www.domain.com.au/10-earle-avenue-ashfield-nsw-2131-2013936543"	7.9
"ASHFIELD"	"19 Knocklayde St"	2	"House"	Price withheld	"https://www.domain.com.au/19-knocklayde-street-ashfield-nsw-2131-2013947489"	7.9
"AUBURN"	"206 Chisholm Rd"	4	"House"	Passed In	"https://www.domain.com.au/206-chisholm-road-auburn-nsw-2144-2013929631"	16.2
"AUBURN"	"27-29 Cockthorpe Rd"	4	"Townhouse"	Price withheld	"https://www.domain.com.au/29-cockthorpe-road-auburn-nsw-2144-2013950572"	16.2
"BALGOWLAH"	"1/18 Rickard St"	2	"Unit"	795.0	"https://www.domain.com.au/1-18-rickard-street-balgowlah-nsw-2093-2013939296"	9.6
"BALGOWLAH"	"18 Violet St"	4	"House"	2665.0	"https://www.domain.com.au/18-violet-street-balgowlah-nsw-2093-2013953696"	9.6
"BALGOWLAH"	"1/82 Wanganella St"	2	"Unit"	1037.0	"https://www.domain.com.au/1-82-wanganella-street-balgowlah-nsw-2093-2013956305"	9.6
"BALGOWLAH"	"164A Woodland St"	3	"Townhouse"	1925.0	"https://www.domain.com.au/164a-woodland-street-balgowlah-nsw-2093-2013958215"	9.6
"BALMAIN"	"92 Curtis Rd"	2	"House"	Passed In	"https://www.domain.com.au/92-curtis-road-balmain-nsw-2041-2013958501"	2.9
"BALMAIN"	"6/2 Ewenton St"	2	"Townhouse"	Withdrawn	"https://www.domain.com.au/6-2-ewenton-street-balmain-nsw-2041-2013918336"	2.9
"BALMAIN"	"8 Waite Av"	2	"House"	Passed In	"https://www.domain.com.au/8-waite-avenue-balmain-nsw-2041-2013956108"	2.9
"BANKSTOWN"	"5 Eldridge Rd"	2	"House"	845.0	"https://www.domain.com.au/5-eldridge-rd-bankstown-nsw-2200-2013946566"	16.9
"BAULKHAM HILLS"	"6 Valerie Av"	4	"House"	Price withheld	"https://www.domain.com.au/6-valerie-avenue-baulkham-hills-nsw-2153-2013972001"	23.2
"BAULKHAM HILLS"	"2 Yaralla Pl"	4	"House"	1187.0	"https://www.domain.com.au/2-yaralla-place-baulkham-hills-nsw-2153-2013953834"	23.2
"BEACON HILL"	"10 Crawford Pl"	4	"House"	Passed In	"https://www.domain.com.au/10-crawford-place-beacon-hill-nsw-2100-2013959750"	13.7
"BEECROFT"	"147A Copeland Rd"	5	"House"	Passed In	"https://www.domain.com.au/147a-copeland-road-beecroft-nsw-2119-2013882288"	18.6
"BELFIELD"	"7/34-40 Baltimore St"	2	"Villa"	746.0	"https://www.domain.com.au/7-34-baltimore-street-belfield-nsw-2191-2013946254"	12
"BELLA VISTA"	"12 Middlebrook Ri"	4	"House"	Passed In	"https://www.domain.com.au/12-middlebrook-rise-bella-vista-nsw-2153-2013928657"	27.4
"BELMORE"	"7 Tudor St"	3	"House"	1205.0	"https://www.domain.com.au/7-tudor-street-belmore-nsw-2192-2013946473"	12.3
"BEVERLY HILLS"	"15 Edmund St"	4	"House"	1365.0	"https://www.domain.com.au/15-edmund-street-beverly-hills-nsw-2209-2013943458"	14.7
"BEVERLY HILLS"	"1/36-46 Tooronga Tce"	2	"Unit"	708.0	"https://www.domain.com.au/1-36-42--tooronga-terrace-beverly-hills-nsw-2209-2013927983"	14.7
"BEXLEY"	"29 Abercorn St"	2	"House"	Withdrawn	"https://www.domain.com.au/29-abercorn-street-bexley-nsw-2207-2013945158"	11.7
"BIRRONG"	"26 Wentworth St"	3	"House"	Price withheld	"https://www.domain.com.au/26-wentworth-st-birrong-nsw-2143-2013953386"	17.2
"BLACKTOWN"	"134 Kildare Rd"	4	"House"	750.0	"https://www.domain.com.au/134-kildare-road-blacktown-nsw-2148-2013950701"	29.6
"BLACKTOWN"	"4 Malouf Pl"	4	"House"	750.0	"https://www.domain.com.au/4-malouf-place-blacktown-nsw-2148-2013951236"	29.6
"BONDI"	"40 Avoca St"	4	"House"	2910.0	"https://www.domain.com.au/40-avoca-street-bondi-nsw-2026-2013941455"	5.9
"BONDI BEACH"	"11/159 Glenayr Av"	2	"Unit"	840.0	"https://www.domain.com.au/11-159-glenayr-avenue-bondi-beach-nsw-2026-2013948096"	6.8
"BONDI BEACH"	"9/60 Ramsgate Av"	1	"Unit"	Price withheld	"https://www.domain.com.au/9-60-ramsgate-avenue-bondi-beach-nsw-2026-2013934412"	6.8
"BONNET BAY"	"27 Lincoln Cr"	4	"House"	Passed In	"https://www.domain.com.au/27-lincoln-crescent-bonnet-bay-nsw-2226-2013958377"	21.2
"BOOKER BAY"	"2/256 Booker Bay Rd"	4	"Duplex"	1155.0	"https://www.domain.com.au/2-256-booker-bay-road-booker-bay-nsw-2257-2013942158"	41.5
"BOSSLEY PARK"	"12 Candlewood St"	4	"House"	1126.0	"https://www.domain.com.au/12-candlewood-street-bossley-park-nsw-2176-2013951807"	29.8
"BOTANY"	"127/26 Jasmine St"	2	"Unit"	1035.0	"https://www.domain.com.au/127-26-jasmine-street-botany-nsw-2019-2013944490"	8.7
"BRIGHTON-LE-SANDS"	"1/30 Kurnell St"	3	"Villa"	Price withheld	"https://www.domain.com.au/1-30-kurnell-street-brighton-le-sands-nsw-2216-2013942148"	11.4
"BRIGHTON-LE-SANDS"	"9/134 The Grand Pde"	2	"Unit"	955.5	"https://www.domain.com.au/9-134-the-grand-parade-brighton-le-sands-nsw-2216-2013959575"	11.4
"BRONTE"	"504A Bronte Rd"	4	"House"	Passed In	"https://www.domain.com.au/504a-bronte-road-bronte-nsw-2024-2013911432"	6.5
"BRONTE"	"8 Darling St"	3	"House"	3125.0	"https://www.domain.com.au/8-darling-street-bronte-nsw-2024-2013928823"	6.5
"BUDGEWOI"	"3 Tenth Av"	5	"House"	790.0	"https://www.domain.com.au/3-tenth-avenue-budgewoi-nsw-2262-2013936526"	119
"BUFF POINT"	"208 Buff Point Av"	2	"House"	467.0	"https://www.domain.com.au/208-buff-point-avenue-buff-point-nsw-2262-2013917855"	118
"BUFF POINT"	"22 Yackerboom Av"	4	"House"	Withdrawn	"https://www.domain.com.au/22-yackerboom-avenue-buff-point-nsw-2262-2013949628"	118
"BURRANEER"	"180 Woolooware Rd"	5	"House"	2240.0	"https://www.domain.com.au/180-woolooware-road-burraneer-nsw-2230-2013945164"	22.9
"BURWOOD"	"2/60A Lucas Rd"	3	"Townhouse"	Price withheld	"https://www.domain.com.au/2-60a-lucas-road-burwood-nsw-2134-2013948026"	9.6
"BURWOOD"	"64 Lucas Rd"	2	"House"	Passed In	"https://www.domain.com.au/64-lucas-road-burwood-nsw-2134-2013945833"	9.6
"BURWOOD"	"3/27 Wyatt Av"	4	"Townhouse"	1725.0	"https://www.domain.com.au/3-27-wyatt-avenue-burwood-nsw-2134-2013921471"	9.6
"CAMPBELLTOWN"	"1/6-11 Parkside Cr"	3	"Townhouse"	Passed In	"https://www.domain.com.au/1-6-11-parkside-crescent-campbelltown-nsw-2560-2013943225"	42.7
"CAMPERDOWN"	"32 Church St"	1	"Terrace"	Price withheld	"https://www.domain.com.au/32-church-st-camperdown-nsw-2050-2013924958"	3.6
"CANADA BAY"	"5/35-39 Regatta Rd"	2	"Townhouse"	1120.0	"https://www.domain.com.au/5-35-39-regatta-road-canada-bay-nsw-2046-2013946901"	8.4
"CARINGBAH"	"40 Frobisher Av"	4	"House"	Price withheld	"https://www.domain.com.au/40-frobisher-avenue-caringbah-nsw-2229-2013958072"	21
"CARINGBAH"	"6 Mirbelia Pl"	4	"House"	1340.0	"https://www.domain.com.au/6-mirbelia-place-caringbah-nsw-2229-2013948279"	21
"CARINGBAH"	"1/13-17 Oleander Pde"	3	"Villa"	990.0	"https://www.domain.com.au/1-13-oleander-parade-caringbah-nsw-2229-2013961909"	21
"CARINGBAH"	"3/145-147 Willarong Rd"	2	"Unit"	825.0	"https://www.domain.com.au/3-145-willarong-road-caringbah-nsw-2229-2013960807"	21
"CARLINGFORD"	"501/245-247 Carlingford Rd"	2	"Unit"	Passed In	"https://www.domain.com.au/501-245-247-carlingford-rd-carlingford-nsw-2118-2013947478"	17.4
"CASTLE COVE"	"23 Headland Rd"	3	"House"	Price withheld	"https://www.domain.com.au/23-headland-road-castle-cove-nsw-2069-2013954636"	9.2
"CASTLE COVE"	"3 Willis Rd"	5	"House"	Price withheld	"https://www.domain.com.au/3-willis-road-castle-cove-nsw-2069-2013942161"	9.2
"CASTLE HILL"	"118 Darcey Rd"	5	"House"	1375.0	"https://www.domain.com.au/118-darcey-road-castle-hill-nsw-2154-2013949816"	23.9
"CASTLE HILL"	"8/342 Old Northern Rd"	3	"Villa"	925.202	"https://www.domain.com.au/8-342-old-northern-road-castle-hill-nsw-2154-2013960129"	23.9
"CASTLE HILL"	"29/2-4 Purser Av"	2	"Unit"	Passed In	"https://www.domain.com.au/29-2-4-purser-avenue-castle-hill-nsw-2154-2013949556"	23.9
"CASTLECRAG"	"113 Edinburgh Rd"	4	"House"	3281.0	"https://www.domain.com.au/113-edinburgh-road-castlecrag-nsw-2068-2013955214"	7.2
"CATHERINE FIELD"	"5A Bonnie Field Cl"	4	"House"	Price withheld	"https://www.domain.com.au/5a-bonnie-field-close-catherine-field-nsw-2557-2013949432"	42.3
"CECIL HILLS"	"10 Richmond Cr"	5	"House"	Passed In	"https://www.domain.com.au/10-richmond-crescent-cecil-hills-nsw-2171-2013927829"	32.7
"CENTENNIAL PARK"	"44/39-43 Cook Rd"	1	"Unit"	638.0	"https://www.domain.com.au/44-39-cook-road-centennial-park-nsw-2021-2013959219"	3.8
"CENTENNIAL PARK"	"58/57-67 Cook Rd"	1	"Unit"	850.0	"https://www.domain.com.au/58-57-cook-road-centennial-park-nsw-2021-2013957041"	3.8
"CHATSWOOD"	"1/30 Archer St"	2	"Unit"	1420.0	"https://www.domain.com.au/1-30-archer-street-chatswood-nsw-2067-2013950594"	8.2
"CHATSWOOD"	"18 Ivy St"	3	"House"	1435.0	"https://www.domain.com.au/18-ivy-street-chatswood-nsw-2067-2013949430"	8.2
"CHATSWOOD"	"40/552 Pacific Hwy"	1	"Unit"	814.0	"https://www.domain.com.au/40-552-pacific-highway-chatswood-nsw-2067-2013947152"	8.2
"CHATSWOOD"	"27 View St"	4	"House"	Withdrawn	"https://www.domain.com.au/27-view-street-chatswood-nsw-2067-2013952731"	8.2
"CHELTENHAM"	"39 Cobran Rd"	4	"House"	Withdrawn	"https://www.domain.com.au/39-cobran-road-cheltenham-nsw-2119-2013960134"	16.6
"CHERRYBROOK"	"15 Walnut Gr"	4	"House"	1626.0	"https://www.domain.com.au/15-walnut-grove-cherrybrook-nsw-2126-2013948191"	22.1
"CHIFLEY"	"1289 Anzac Pde"	4	"House"	1600.0	"https://www.domain.com.au/1289-anzac-parade-chifley-nsw-2036-2013947521"	12.5
"CHIPPENDALE"	"10/9-15 Blackfriars St"	2	"Unit"	1250.0	"https://www.domain.com.au/10-9-15-blackfriars-street-chippendale-nsw-2008-2013948081"	2.2
"CHURCH POINT"	"40 McCarrs Creek Rd"	3	"House"	2925.0	"https://www.domain.com.au/40-mccarrs-creek-road-church-point-nsw-2105-2013930894"	25.7
"CLAREVILLE"	"238 Hudson Pde"	4	"House"	4400.0	"https://www.domain.com.au/238-hudson-parade-clareville-nsw-2107-2013931436"	27.6
"CLOVELLY"	"48 Clifton Rd"	4	"House"	3306.0	"https://www.domain.com.au/48-clifton-road-clovelly-nsw-2031-2013952735"	7.2
"CLOVELLY"	"2/17 Flood St"	2	"Townhouse"	1580.0	"https://www.domain.com.au/2-17-flood-street-clovelly-nsw-2031-2013958128"	7.2
"COLLAROY"	"1069 Pittwater Rd"	5	"House"	Withdrawn	"https://www.domain.com.au/1069-pittwater-road-collaroy-nsw-2097-2013956577"	16.6
"COLYTON"	"57 Hewitt St"	5	"House"	Passed In	"https://www.domain.com.au/57-hewitt-street-colyton-nsw-2760-2013855247"	39.5
"CONCORD"	"16 Rose Av"	4	"House"	Passed In	"https://www.domain.com.au/16-rose-avenue-concord-nsw-2137-2013930793"	9.6
"CONSTITUTION HILL"	"11 Eildon St"	4	"House"	968.0	"https://www.domain.com.au/11-eildon-street-constitution-hill-nsw-2145-2008521916"	unknown
"COOGEE"	"68 Beach St"	5	"House"	4500.0	"https://www.domain.com.au/68-beach-street-coogee-nsw-2034-2013939504"	7.4
"COOGEE"	"15/73 Mount St"	1	"Unit"	803.0	"https://www.domain.com.au/15-73-mount-street-coogee-nsw-2034-2013957904"	7.4
"CRANEBROOK"	"18 Enterprise Rd"	3	"House"	755.0	"https://www.domain.com.au/18-enterprise-road-cranebrook-nsw-2749-2013947809"	49
"CROMER"	"8 Dorothy St"	4	"House"	2170.0	"https://www.domain.com.au/8-dorothy-street-cromer-nsw-2099-2013948914"	15.6
"CROMER"	"14A Grover Av"	3	"House"	Price withheld	"https://www.domain.com.au/14a-grover-avenue-cromer-nsw-2099-2013955127"	15.6
"CROMER"	"14 Wambiri Pl"	4	"House"	1533.0	"https://www.domain.com.au/14-wambiri-place-cromer-nsw-2099-2013947135"	15.6
"CRONULLA"	"1/34-36 Hume Rd"	2	"Unit"	925.0	"https://www.domain.com.au/1-34-hume-road-cronulla-nsw-2230-2013945162"	21.1
"CRONULLA"	"8/25-26 The Esplanade "	2	"Unit"	1475.0	"https://www.domain.com.au/8-25-the-esplanade-cronulla-nsw-2230-2013958374"	21.1
"CRONULLA"	"29 Wilshire Av"	4	"House"	2750.0	"https://www.domain.com.au/29-wilshire-avenue-cronulla-nsw-2230-2013951751"	21.1
"CROYDON"	"25A Cromwell St"	3	"House"	1444.5	"https://www.domain.com.au/25a-cromwell-street-croydon-nsw-2132-2013945659"	8.7
"CROYDON"	"5/23-24 Etonville Pde"	2	"Unit"	724.0	"https://www.domain.com.au/5-23-24-etonville-parade-croydon-nsw-2132-2013945568"	8.7
"CROYDON PARK"	"303 Georges River Rd"	3	"House"	Passed In	"https://www.domain.com.au/303-georges-river-road-croydon-park-nsw-2133-2013945570"	9.6
"CURL CURL"	"4 Brighton St"	4	"House"	2020.0	"https://www.domain.com.au/4-brighton-street-curl-curl-nsw-2096-2013938918"	13.6
"DARLINGHURST"	"164B Bourke St"	5	"Terrace"	Passed In	"https://www.domain.com.au/164b-bourke-street-darlinghurst-nsw-2010-2013931126"	1.8
"DARLINGHURST"	"406/200 Campbell St"	1	"Unit"	Price withheld	"https://www.domain.com.au/406-200-campbell-street-surry-hills-nsw-2010-2013944643"	1.8
"DEE WHY"	"16/49-53 Delmar Pde"	2	"Unit"	Price withheld	"https://www.domain.com.au/16-49-delmar-parade-dee-why-nsw-2099-2013958625"	14.6
"DEE WHY"	"14 Lewis St"	3	"House"	1591.0	"https://www.domain.com.au/14-lewis-street-dee-why-nsw-2099-2013947842"	14.6
"DEE WHY"	"2/18 Redman Rd"	2	"Unit"	909.5	"https://www.domain.com.au/2-18-redman-road-dee-why-nsw-2099-2013960351"	14.6
"DEE WHY"	"2102/10 Sturdee Pde"	2	"Unit"	Price withheld	"https://www.domain.com.au/2102-10-sturdee-parade-dee-why-nsw-2099-2013947067"	14.6
"DEE WHY"	"3/24-25 The Strand "	3	"Unit"	Passed In	"https://www.domain.com.au/3-25-the-strand-dee-why-nsw-2099-2013940693"	14.6
"DEE WHY"	"13 Turner St"	3	"House"	1485.0	"https://www.domain.com.au/13-turner-street-dee-why-nsw-2099-2013946239"	14.6
"DENISTONE EAST"	"515 Blaxland Rd"	3	"House"	1230.0	"https://www.domain.com.au/515-blaxland-road-denistone-east-nsw-2112-2013954384"	12.8
"DOLLS POINT"	"2/1-3 Norman Av"	2	"Unit"	680.0	"https://www.domain.com.au/2-1-3-norman-avenue-dolls-point-nsw-2219-2013965658"	15.1
"DULWICH HILL"	"121 The Boulevarde "	3	"House"	1760.0	"https://www.domain.com.au/121-the-boulevarde-dulwich-hill-nsw-2203-2013938415"	7.2
"DULWICH HILL"	"5/11 Williams Pde"	3	"Unit"	1267.0	"https://www.domain.com.au/5-11-williams-parade-dulwich-hill-nsw-2203-2013945567"	7.2
"EARLWOOD"	"50 Fricourt Av"	4	"House"	2300.0	"https://www.domain.com.au/50-fricourt-avenue-earlwood-nsw-2206-2013946919"	9.9
"EARLWOOD"	"36 River St"	2	"House"	990.0	"https://www.domain.com.au/36-river-street-earlwood-nsw-2206-2013947166"	9.9
"EARLWOOD"	"48A Woolcott St"	3	"House"	Withdrawn	"https://www.domain.com.au/48a-woolcott-street-earlwood-nsw-2206-2013949135"	9.9
"EAST KILLARA"	"37 Kimberley St"	4	"House"	1860.0	"https://www.domain.com.au/37-kimberley-street-east-killara-nsw-2071-2013953527"	13.1
"EASTWOOD"	"6 Harrison Av"	3	"House"	1700.0	"https://www.domain.com.au/6-harrison-avenue-eastwood-nsw-2122-2013956812"	14.5
"EASTWOOD"	"4/7-9 May St"	2	"Unit"	710.0	"https://www.domain.com.au/4-7-9-may-street-eastwood-nsw-2122-2013954090"	14.5
"EASTWOOD"	"42 Raymond St"	3	"House"	1658.0	"https://www.domain.com.au/42-raymond-street-eastwood-nsw-2122-2013958510"	14.5
"EMPIRE BAY"	"52 Pomona Rd"	4	"House"	Passed In	"https://www.domain.com.au/52-pomona-road-empire-bay-nsw-2257-2013976818"	43.9
"ENMORE"	"89C Camden St"	2	"House"	Price withheld	"https://www.domain.com.au/89c-camden-street-enmore-nsw-2042-2013950570"	4.9
