"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"	Distance
"Abbotsford"	"10 Tyler Cr"	3	"House"		"https://www.realestate.com.au/126406998"	7.4
"Adamstown Heights"	"61 Princeton Av"	4	"House"	730000	"https://www.realestate.com.au/126532906"	un_known
"Albury"	"583 Poole St"	4	"House"		"https://www.realestate.com.au/125367606"	un_known
"Alexandria"	"C102/2 Mandible St"	1	"Unit"		"https://www.realestate.com.au/126423598"	3.5
"Alexandria"	"344 Belmont St"	2	"House"	1432000	"https://www.realestate.com.au/126465910"	3.5
"Allawah"	"4/13 Balfour St"	2	"Unit"	720000	"https://www.realestate.com.au/126525930"	14.3
"Allawah"	"2/29 Lancelot St"	3	"Unit"		"https://www.realestate.com.au/126515734"	14.3
"Annandale"	"40 Alfred St"	4	"House"	1950000	"https://www.realestate.com.au/126519738"	3.7
"Annandale"	"3A Wells St"	3	"House"	1740000	"https://www.realestate.com.au/126513558"	3.7
"Annandale"	"26/62 Booth St"	2	"Unit"		"https://www.realestate.com.au/126517098"	3.7
"Artarmon"	"22/1 Broughton Rd"	2	"Unit"	965000	"https://www.realestate.com.au/126575126"	6.7
"Artarmon"	"8 Rimmington St"	3	"House"	1565000	"https://www.realestate.com.au/126530394"	6.7
"Ashbury"	"39 Second St"	2	"House"	1435000	"https://www.realestate.com.au/126498362"	9
"Ashby Heights"	"1 Broadwater Rd"	3	"House"		"https://www.realestate.com.au/126463266"	un_known
"Ashfield"	"21/18 Knocklayde St"	3	"Unit"	1180000	"https://www.realestate.com.au/126498018"	7.9
"Ashfield"	"7/9 Church St"	2	"Unit"	637500	"https://www.realestate.com.au/126500150"	7.9
"Ashfield"	"20/47 Chandos St"	2	"Unit"	750000	"https://www.realestate.com.au/126488474"	7.9
"Auburn"	"136 Harrow Rd"	3	"House"		"https://www.realestate.com.au/126501190"	16.2
"Auburn"	"1 Cover St"	5	"House"	1300000	"https://www.realestate.com.au/126496794"	16.2
"Auburn"	"19 Belgium St"	4	"House"	1140000	"https://www.realestate.com.au/126304618"	16.2
"Avalon Beach"	"29 Queens Av"	4	"House"	1675000	"https://www.realestate.com.au/126482050"	28.1
"Avalon Beach"	"65 Elvina Av"	5	"House"		"https://www.realestate.com.au/126460310"	28.1
"Avalon Beach"	"5A Whale Beach Rd"	3	"Unit"		"https://www.realestate.com.au/126529658"	28.1
"Avoca Beach"	"306 Avoca Dr"	5	"House"		"https://www.realestate.com.au/126532426"	49.3
"Avoca Beach"	"25 Moores Rd"	4	"House"		"https://www.realestate.com.au/126433602"	49.3
"Balaclava"	"5 Renwick Dr"	2	"House"		"https://www.realestate.com.au/126483974"	un_known
"Balgowlah"	"65A Griffiths St"	3	"House"	2315000	"https://www.realestate.com.au/126488350"	9.6
"Balgowlah"	"49A West St"	3	"House"		""	9.6
"Balgowlah"	"21A Kitchener St"	4	"House"		"https://www.realestate.com.au/126481302"	9.6
"Balgownie"	"13 Chalmers St"	4	"House"	945000	"https://www.realestate.com.au/126508982"	89
"Ballina"	"1 King St"	3	"House"	1200000	"https://www.realestate.com.au/126463446"	un_known
"Balmain"	"32 North St"	4	"House"		"https://www.realestate.com.au/126468994"	2.9
"Balmain"	"7 Evans St"	1	"House"		"https://www.realestate.com.au/126497974"	2.9
"Balmoral"	"91 Letchworth Pde"	3	"House"		"https://www.realestate.com.au/126466758"	un_known
"Bangalow"	"226 Fowlers La"	5	"House"		"https://www.realestate.com.au/126441910"	765
"Banksia"	"11 Wolli Creek Rd"	2	"House"	920000	"https://www.realestate.com.au/126496542"	10.7
"Bankstown"	"201A/443 Chapel Rd"	3	"Unit"	660000	"https://www.realestate.com.au/126504118"	16.9
"Bankstown"	"196 Canterbury Rd"	2	"House"		"https://www.realestate.com.au/126501174"	16.9
"Bankstown"	"99 Oxford Av"	2	"House"	1525000	"https://www.realestate.com.au/126501634"	16.9
"Bardwell Valley"	"4 Orion St"	3	"House"		"https://www.realestate.com.au/126523330"	10.1
"Bathurst"	"15 Blandford St"	4	"House"		"https://www.realestate.com.au/126505138"	200
"Bathurst"	"3 Loftus St"	4	"House"		"https://www.realestate.com.au/125676810"	200
"Baulkham Hills"	"27 Arndill Av"	3	"House"	1250000	""	23.2
"Baulkham Hills"	"30 Mulheron Av"	5	"House"	1260000	"https://www.realestate.com.au/126482026"	23.2
"Bayview"	"2041 Pittwater Rd"	4	"House"		"https://www.realestate.com.au/126404662"	24.5
"Beacon Hill"	"17 Eltham St"	4	"House"		"https://www.realestate.com.au/126543290"	13.7
"Beecroft"	"79 Wongala Cr"	4	"House"		"https://www.realestate.com.au/126534182"	18.6
"Bega"	"2 Brogo St"	0.5	"House"	97000	"https://www.realestate.com.au/201920242"	un_known
"Bella Vista"	"17 Sacoya Av"	0.5	"House"	2605000	"https://www.realestate.com.au/502569594"	27.4
"Bellevue Hill"	"3/67 Boronia Rd"	3	"Unit"		""	5.3
"Belmore"	"11 Railway Pde"	4	"House"	950000	"https://www.realestate.com.au/126456846"	12.3
"Belmore"	"41 Trafalgar St"	3	"House"	1300000	"https://www.realestate.com.au/126501830"	12.3
"Belrose"	"4 Oates Pl"	4	"House"		"https://www.realestate.com.au/126513730"	14.2
"Beverley Park"	"60 Battye Av"	4	"House"	1586000	"https://www.realestate.com.au/126514514"	13.9
"Beverly Hills"	"2/40 Melvin St"	2	"Unit"		"https://www.realestate.com.au/126445478"	14.7
"Beverly Hills"	"28 Pallamana Pde"	3	"House"	1185000	"https://www.realestate.com.au/126458462"	14.7
"Bexley"	"64 Croydon Rd"	3	"House"	1100000	"https://www.realestate.com.au/126472858"	11.7
"Bexley"	"45 Unwin St"	4	"House"		"https://www.realestate.com.au/126526642"	11.7
"Bexley"	"5/71 St Georges Rd"	2	"Unit"	804000	"https://www.realestate.com.au/126486970"	11.7
"Birchgrove"	"12 Ferdinand St"	2	"House"	1337000	"https://www.realestate.com.au/126516786"	2.9
"Birchgrove"	"2 Spring St"	4	"House"		"https://www.realestate.com.au/126448762"	2.9
"Birrong"	"74 Auburn Rd"	5	"House"		"https://www.realestate.com.au/126503482"	17.2
"Birrong"	"74A Auburn Rd"	4	"House"		"https://www.realestate.com.au/126503486"	17.2
"Birrong"	"1A Tewinga Rd"	2	"House"	700000	"https://www.realestate.com.au/126566394"	17.2
"Blackbutt"	"21 Albatross Dr"	4	"House"		"https://www.realestate.com.au/126340186"	un_known
"Blacktown"	"30 Boyd St"	4	"House"		""	29.6
"Blacktown"	"35 Tara Rd"	3	"House"		"https://www.realestate.com.au/126529274"	29.6
"Blacktown"	"20 Robyn St"	4	"House"		"https://www.realestate.com.au/126447294"	29.6
"Blakehurst"	"10 Walton St"	4	"House"		"https://www.realestate.com.au/126490930"	16.1
"Blue Haven"	"107 Roper Rd"	4	"House"	516000	""	91
"Blue Haven"	"50 Birdwood Dr"	4	"House"		"https://www.realestate.com.au/126365406"	91
"Bondi"	"22 Edward St"	4	"House"		"https://www.realestate.com.au/126425586"	5.9
"Bondi"	"5/2B Penkivil St"	2	"Unit"	1100000	"https://www.realestate.com.au/126309218"	5.9
"Bondi Beach"	"32/177 Glenayr Av"	1	"Unit"	500000	"https://www.realestate.com.au/126413386"	6.8
"Bondi Beach"	"33 Lamrock Av"	3	"House"	3285000	"https://www.realestate.com.au/126419906"	6.8
"Bondi Beach"	"9/3 Cox Av"	2	"Unit"	770000	"https://www.realestate.com.au/126476326"	6.8
"Bondi Beach"	"1/64 Campbell Pde"	2	"Unit"	850000	"https://www.realestate.com.au/126478614"	6.8
"Bondi Beach"	"291 Old South Head Rd"	3	"House"	1773000	"https://www.realestate.com.au/126478598"	6.8
"Bondi Junction"	"25 Grafton St"	2	"House"		"https://www.realestate.com.au/126468402"	4.7
"Bonnet Bay"	"23 Eisenhower Pl"	3	"House"	1035000	"https://www.realestate.com.au/126522430"	21.2
"Bonnyrigg Heights"	"42 Delgarno Rd"	4	"House"		"https://www.realestate.com.au/106948975"	31.4
"Bonnyrigg Heights"	"10 Mozart Pl"	3	"House"		"https://www.realestate.com.au/126370278"	31.4
"Borenore"	"600 Borenore Rd"	5	"House"		"https://www.realestate.com.au/126353206"	un_known
"Botany"	"1A/44 William St"	3	"House"	1340000	"https://www.realestate.com.au/126522386"	8.7
"Botany"	"49B Wilson St"	3	"House"	1470000	"https://www.realestate.com.au/126467714"	8.7
"Botany"	"201/9 Myrtle St"	2	"Unit"	965000	"https://www.realestate.com.au/126483930"	8.7
