"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"	Distance
"Millers Forest"	"54 Monkleys Rd"	5	"House"		""	un_known
"Milperra"	"36 Eynham Rd"	3	"House"		"https://www.realestate.com.au/126808194"	21.6
"Milperra"	"15 Mactier Av"	3	"House"		"https://www.realestate.com.au/126777374"	21.6
"Milsons Point"	"12/98 Alfred St"	1	"Unit"		""	2.2
"Minto"	"129 Longhurst Rd"	4	"House"	1350000	"https://www.realestate.com.au/126784074"	37.8
"Miranda"	"2/143 Karimbla Rd"	4	"Unit"		"https://www.realestate.com.au/126855010"	21
"Miranda"	"6/118 Karimbla Rd"	2	"Unit"		"https://www.realestate.com.au/126812666"	21
"Miranda"	"1 Sandra Pl"	3	"House"		"https://www.realestate.com.au/126821286"	21
"Miranda"	"14/265 Port Hacking Rd"	2	"Unit"		"https://www.realestate.com.au/126854442"	21
"Mirrabooka"	"14 Hillcrest Rd"	3	"House"	420000	"https://www.realestate.com.au/126760454"	un_known
"Mona Vale"	"20 Mona St"	4	"House"		""	22.8
"Mona Vale"	"2/28 Darley St E"	2	"Unit"		"https://www.realestate.com.au/126864918"	22.8
"Mona Vale"	"4 Marie Cr"	4	"House"		"https://www.realestate.com.au/126775042"	22.8
"Mona Vale"	"4/117 Darley St"	2	"Unit"		"https://www.realestate.com.au/126849454"	22.8
"Moorebank"	"22 Elouera Cr"	4	"House"		"https://www.realestate.com.au/126805630"	24.5
"Moorebank"	"16A Corben Av"	4	"House"	991000	"https://www.realestate.com.au/126767522"	24.5
"Mortdale"	"45 Villiers Av"	3	"House"	1225000	"https://www.realestate.com.au/126829414"	16.9
"Mortdale"	"6/28A George St"	2	"Unit"	580000	"https://www.realestate.com.au/126825606"	16.9
"Mosman"	"96 Glover St"	3	"House"		"https://www.realestate.com.au/126661074"	5.4
"Mosman"	"3/2A Dalton Rd"	2	"Unit"		"https://www.realestate.com.au/126837266"	5.4
"Mosman"	"23 Holt Av"	3	"House"		"https://www.realestate.com.au/126786502"	5.4
"Mosman"	"4 Botanic Rd"	3	"House"		"https://www.realestate.com.au/126855954"	5.4
"Mosman"	"29 Cabramatta Rd"	5	"House"		"https://www.realestate.com.au/126846890"	5.4
"Mosman"	"2/830 Military Rd"	2	"Unit"		"https://www.realestate.com.au/126795918"	5.4
"Mosman"	"5/156 Spit Rd"	2	"Unit"	905000	"https://www.realestate.com.au/126849406"	5.4
"Mosman"	"5A Shellbank Av"	4	"House"		"https://www.realestate.com.au/126646914"	5.4
"Mosman"	"59 Moruben Rd"	5	"House"		"https://www.realestate.com.au/126830378"	5.4
"Mount Annan"	"29 Commelina Dr"	4	"House"		"https://www.realestate.com.au/126799618"	45.9
"Mount Colah"	"8 Livingstone Pl"	3	"House"		"https://www.realestate.com.au/126786514"	23.4
"Mount Druitt"	"19 Raynor St"	4	"House"		"https://www.realestate.com.au/126836878"	37.7
"Mount Kuring-gai"	"9 Glenview Rd"	4	"House"	1275000	"https://www.realestate.com.au/126854250"	25.4
"Mount Pritchard"	"8 Dobell St"	3	"House"		"https://www.realestate.com.au/126788998"	28.2
"Narrabeen"	"17 Malcolm St"	4	"House"		"https://www.realestate.com.au/126747278"	17.6
"Narrabeen"	"40 Lindley Av"	4	"House"	2335000	"https://www.realestate.com.au/126856342"	17.6
