"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"
"ABBOTSFORD"	"8/1 Rokeby Rd"	2	"Unit"	860.0	"https://www.domain.com.au/8-1-3-rokeby-road-abbotsford-nsw-2046-2013774874"
"ALEXANDRIA"	"119 Buckland St"	2	"House"	1502.0	"https://www.domain.com.au/119-buckland-street-alexandria-nsw-2015-2013780380"
"ALEXANDRIA"	"20/11 Henderson Rd"	1	"Unit"	650.0	"https://www.domain.com.au/20-11-henderson-road-alexandria-nsw-2015-2013778161"
"ALLAMBIE HEIGHTS"	"18 Bate Av"	5	"House"	1880.0	"https://www.domain.com.au/18-bate-avenue-allambie-heights-nsw-2100-2013772716"
"ALLAWAH"	"89 Illawarra St"	5	"House"	1593.0	"https://www.domain.com.au/89-illawarra-st-allawah-nsw-2218-2013769444"
"ARNCLIFFE"	"7 Spring St"	4	"House"	Price withheld	"https://www.domain.com.au/7-spring-street-arncliffe-nsw-2205-2013771850"
"ARTARMON"	"42/5 Broughton Rd"	1	"Unit"	741.0	"https://www.domain.com.au/42-5-broughton-road-artarmon-nsw-2064-2013789594"
"ARTARMON"	"5 Rimmington St"	4	"House"	2050.0	"https://www.domain.com.au/5-rimmington-street-artarmon-nsw-2064-2013758684"
"ASHFIELD"	"55/2A Brown St"	2	"Unit"	790.0	"https://www.domain.com.au/55-2a-brown-street-ashfield-nsw-2131-2013769544"
"ASHFIELD"	"301/168 Liverpool Rd"	2	"Unit"	Passed In	"https://www.domain.com.au/301-168-liverpool-road-ashfield-nsw-2131-2013768657"
"ASHFIELD"	"2/393 Liverpool Rd"	2	"Unit"	Passed In	"https://www.domain.com.au/2-393-liverpool-road-ashfield-nsw-2131-2013768615"
"ASHFIELD"	"12 Service Av"	4	"House"	1905.0	"https://www.domain.com.au/12-service-avenue-ashfield-nsw-2131-2013772192"
"ASHFIELD"	"1/16 Webbs Av"	2	"Unit"	905.0	"https://www.domain.com.au/1-16-webbs-avenue-ashfield-nsw-2131-2013761232"
"AUBURN"	"119 Cardigan St"	3	"House"	905.0	"https://www.domain.com.au/119-cardigan-st-auburn-nsw-2144-2013767330"
"AUBURN"	"84 Cardigan St"	4	"House"	Passed In	"https://www.domain.com.au/84-cardigan-st-auburn-nsw-2144-2013773312"
"AUBURN"	"28 Gordon Rd"	4	"House"	945.0	"https://www.domain.com.au/28-gordon-rd-auburn-nsw-2144-2013784344"
"AUBURN"	"78 Park Rd"	5	"House"	1326.0	"https://www.domain.com.au/78-park-road-auburn-nsw-2144-2013771420"
"AVALON BEACH"	"133 Cabarita Rd"	4	"House"	Passed In	"https://www.domain.com.au/133-cabarita-road-avalon-beach-nsw-2107-2013767056"
"BALGOWLAH"	"106 Balgowlah Rd"	3	"House"	1650.0	"https://www.domain.com.au/106-balgowlah-road-balgowlah-nsw-2093-2013778108"
"BALGOWLAH"	"17/5A Pitt St"	2	"Unit"	820.0	"https://www.domain.com.au/17-5a-pitt-street-balgowlah-nsw-2093-2013774031"
"BALGOWLAH"	"3/186 Woodland St"	4	"Townhouse"	2200.0	"https://www.domain.com.au/3-186-woodland-street-balgowlah-nsw-2093-2013774035"
"BALGOWLAH HEIGHTS"	"11 Dobroyd Rd"	5	"House"	3250.0	"https://www.domain.com.au/11-dobroyd-road-balgowlah-heights-nsw-2093-2013770372"
"BALMAIN"	"102 Beattie St"	4	"House"	Price withheld	"https://www.domain.com.au/102-beattie-street-balmain-nsw-2041-2013760112"
"BALMAIN"	"5/428 Darling St"	2	"Unit"	1090.0	"https://www.domain.com.au/5-428-darling-street-balmain-nsw-2041-2013740629"
"BALMAIN"	"6 Valley St"	3	"House"	1600.0	"https://www.domain.com.au/6-valley-street-balmain-nsw-2041-2013768676"
"BANKSIA"	"21/9 Banksia Av"	2	"Unit"	806.0	"https://www.domain.com.au/21-9-banksia-avenue-banksia-nsw-2216-2013776740"
"BANKSTOWN"	"17 Dutton St"	3	"House"	1480.0	"https://www.domain.com.au/17-dutton-street-bankstown-nsw-2200-2013770169"
"BANKSTOWN"	"43 Little Rd"	3	"House"	1205.0	"https://www.domain.com.au/43-little-road-bankstown-nsw-2200-2013770476"
"BATEAU BAY"	"61 Berne St"	4	"House"	Withdrawn	"https://www.domain.com.au/61-berne-street-bateau-bay-nsw-2261-2013777762"
"BATEAU BAY"	"3 Caloola Cl"	4	"House"	1090.0	"https://www.domain.com.au/3-caloola-close-bateau-bay-nsw-2261-2013757457"
"BAULKHAM HILLS"	"160 Baulkham Hills Rd"	4	"House"	Passed In	"https://www.domain.com.au/160-baulkham-hills-road-baulkham-hills-nsw-2153-2013769523"
"BAULKHAM HILLS"	"51 Christopher St"	3	"House"	1150.0	"https://www.domain.com.au/51-christopher-street-baulkham-hills-nsw-2153-2013770054"
"BAULKHAM HILLS"	"15 Radiata Av"	4	"House"	1520.0	"https://www.domain.com.au/15-radiata-avenue-baulkham-hills-nsw-2153-2013767366"
"BAULKHAM HILLS"	"33 Woodlands St"	3	"Duplex"	985.0	"https://www.domain.com.au/33-woodlands-street-baulkham-hills-nsw-2153-2013780460"
"BEECROFT"	"14 Bingara Rd"	3	"House"	1641.0	"https://www.domain.com.au/14-bingara-road-beecroft-nsw-2119-2013779944"
"BEECROFT"	"91/7 Chapman Av"	3	"Unit"	1350.0	"https://www.domain.com.au/91-7-chapman-avenue-beecroft-nsw-2119-2013767167"
"BEECROFT"	"177c Copeland Rd"	5	"House"	2300.0	"https://www.domain.com.au/177c-copeland-road-east-beecroft-nsw-2119-2013771286"
"BEECROFT"	"16 Finlay Av"	5	"House"	1600.0	"https://www.domain.com.au/16-finlay-avenue-beecroft-nsw-2119-2013771285"
"BEECROFT"	"47 Hull Rd"	4	"House"	Passed In	"https://www.domain.com.au/47-hull-road-beecroft-nsw-2119-2013771081"
"BEECROFT"	"152 Murray Farm Rd"	4	"House"	Passed In	"https://www.domain.com.au/152-murray-farm-road-beecroft-nsw-2119-2013782648"
"BELLA VISTA"	"17 Northridge Av"	4	"House"	2250.0	"https://www.domain.com.au/17-northridge-avenue-bella-vista-nsw-2153-2013769405"
"BELLA VISTA"	"5A Richardson Pl"	4	"House"	Passed In	"https://www.domain.com.au/5a-richardson-place-bella-vista-nsw-2153-2013776454"
"BELMORE"	"10 Lakemba St"	3	"House"	1660.0	"https://www.domain.com.au/10-lakemba-street-belmore-nsw-2192-2013768464"
"BEVERLEY PARK"	"21 Carroll St"	3	"House"	2120.0	"https://www.domain.com.au/21-carroll-street-beverley-park-nsw-2217-2013758920"
"BEVERLY HILLS"	"8 Allambee Cr"	3	"House"	Passed In	"https://www.domain.com.au/8-allambee-crescent-beverly-hills-nsw-2209-2013761030"
"BEVERLY HILLS"	"21 Mercury St"	3	"House"	1090.0	"https://www.domain.com.au/21-mercury-street-beverly-hills-nsw-2209-2013771524"
"BEVERLY HILLS"	"7a Westbrook St"	5	"Duplex"	Passed In	"https://www.domain.com.au/7a-westbrook-street-beverly-hills-nsw-2209-2013768429"
"BEXLEY"	"17 Northbrook St"	4	"House"	Withdrawn	"https://www.domain.com.au/17-northbrook-street-bexley-nsw-2207-2013770034"
"BEXLEY NORTH"	"68 Oliver St"	3	"House"	1639.0	"https://www.domain.com.au/68-oliver-street-bexley-north-nsw-2207-2013755258"
