"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"	Distance
"Abbotsbury"	"19 Withers Pl"	5	"House"	1750000	""	31.3
"Abbotsbury"	"4 Seidel Pl"	4	"House"		"https://www.realestate.com.au/126710062"	31.3
"Abbotsbury"	"7 Unsworth St"	4	"House"	850000	"https://www.realestate.com.au/126686242"	31.3
"Abbotsford"	"4/2 Poolman St"	1	"Unit"		"https://www.realestate.com.au/126659026"	7.4
"Abbotsford"	"4/59 Walton Cr"	3	"Unit"		"https://www.realestate.com.au/126693638"	7.4
"Abbotsford"	"8/56 Hampden Rd"	2	"Unit"	860000	""	7.4
"Abbotsford"	"8/156 Hampden Rd"	2	"Unit"	860000	""	7.4
"Abercrombie"	"1A Abercrombie Dr"	4	"House"		"https://www.realestate.com.au/125771206"	un_known
"Albury"	"669 Jones St"	2	"House"	475000	"https://www.realestate.com.au/126682546"	un_known
"Albury"	"403 North St"	0.5	"House"		"https://www.realestate.com.au/126525658"	un_known
"Alexandria"	"M29/1A Mandible St"	2	"Unit"		"https://www.realestate.com.au/126698174"	3.5
"Alexandria"	"L209/8 Loveridge St"	2	"Unit"		"https://www.realestate.com.au/126705182"	3.5
"Alexandria"	"20/1 Ralph St"	1	"Unit"		"https://www.realestate.com.au/126708066"	3.5
"Alexandria"	"195 Lawrence St"	3	"House"		"https://www.realestate.com.au/126707434"	3.5
"Alfords Point"	"6 Jonquil Pl"	5	"House"	1520000	"https://www.realestate.com.au/126716290"	21.9
"Allambie Heights"	"18/46 Kentwell Rd"	2	"Unit"		"https://www.realestate.com.au/126705278"	12
"Allambie Heights"	"5 Nyrang Rd"	3	"House"	1860000	"https://www.realestate.com.au/126698410"	12
"Allambie Heights"	"1 Buna Pl"	5	"House"		"https://www.realestate.com.au/126717838"	12
"Allawah"	"10/406 Railway Pde"	3	"Unit"	975000	"https://www.realestate.com.au/126683586"	14.3
"Annandale"	"13 Kentville Av"	3	"House"	1855000	"https://www.realestate.com.au/126722602"	3.7
"Annandale"	"5/149 Trafalgar St"	2	"Unit"	1085000	"https://www.realestate.com.au/126740638"	3.7
"Arncliffe"	"67A Fairview St"	4	"House"	1675000	"https://www.realestate.com.au/126717878"	9.5
"Arncliffe"	"10 Hirst St"	2	"House"		"https://www.realestate.com.au/126654530"	9.5
"Artarmon"	"10C/3 Jersey Rd"	2	"Unit"		"https://www.realestate.com.au/126647002"	6.7
"Ashfield"	"15 Wallace St"	5	"House"		"https://www.realestate.com.au/126699462"	7.9
"Ashfield"	"50 Joseph St"	2	"House"	1252000	"https://www.realestate.com.au/126711250"	7.9
"Ashfield"	"4/114A Victoria St"	2	"Unit"	800000	"https://www.realestate.com.au/126659826"	7.9
"Ashfield"	"6/25 Elizabeth St"	2	"Unit"	850000	"https://www.realestate.com.au/126652146"	7.9
"Auburn"	"13 Northcote St"	3	"House"	1360000	"https://www.realestate.com.au/126699362"	16.2
"Auburn"	"13 Kihilla Rd"	4	"House"	1310000	"https://www.realestate.com.au/126686566"	16.2
"Avalon Beach"	"1/36 Old Barrenjoey Rd"	2	"Unit"		"https://www.realestate.com.au/126658530"	28.1
"Avalon Beach"	"18 Old Barrenjoey Rd"	4	"House"		"https://www.realestate.com.au/126355538"	28.1
"Avalon Beach"	"14 Joseph St"	4	"House"	1822000	"https://www.realestate.com.au/126646138"	28.1
"Avoca Beach"	"11 Gill Av"	4	"House"	1078000	"https://www.realestate.com.au/126721650"	49.3
"Avoca Beach"	"6/172 Avoca Dr"	2	"Unit"	962000	"https://www.realestate.com.au/126652130"	49.3
"Balgowlah"	"3/442 Sydney Rd"	2	"Unit"	665000	"https://www.realestate.com.au/126694058"	9.6
"Balgowlah"	"1/84 West St"	2	"House"		"https://www.realestate.com.au/126667766"	9.6
"Balgowlah"	"10/5 Cross St"	2	"Unit"	716000	"https://www.realestate.com.au/126724966"	9.6
"Balgowlah"	"1/1 White St"	2	"Unit"	1340000	"https://www.realestate.com.au/126727986"	9.6
"Balgowlah"	"22 Violet St"	3	"House"		"https://www.realestate.com.au/126669626"	9.6
"Ballina"	"4/3 Helen Ct"	2	"Unit"	335000	"https://www.realestate.com.au/126585854"	un_known
"Ballina"	"16 Richmond Av"	4	"House"		"https://www.realestate.com.au/126557574"	un_known
"Ballina"	"15/1 Cherry St"	2	"Unit"	875000	"https://www.realestate.com.au/126734398"	un_known
"Balmain"	"15 Valley St"	4	"House"		"https://www.realestate.com.au/126646178"	2.9
"Balmain"	"67 Elliott St"	2	"House"	1410000	"https://www.realestate.com.au/126691806"	2.9
"Balmain East"	"23 William St"	4	"House"		"https://www.realestate.com.au/126721158"	1.8
"Balmain East"	"23 Duke St"	3	"House"		"https://www.realestate.com.au/126714190"	1.8
"Bangalow"	"44 Byron St"	1	"House"		"https://www.realestate.com.au/126547094"	765
"Bangor"	"8 Pyree St"	4	"House"		"https://www.realestate.com.au/126684814"	23.5
"Bangor"	"6 Tagudi Pl"	3	"House"	1000000	"https://www.realestate.com.au/126711710"	23.5
"Bankstown"	"36B Highland Av"	3	"House"	935000	"https://www.realestate.com.au/126696566"	16.9
"Bankstown"	"105 Stansfield Av"	5	"House"		"https://www.realestate.com.au/126639454"	16.9
"Bankstown"	"2/26 De Witt St"	3	"Unit"	725000	"https://www.realestate.com.au/126679970"	16.9
"Bass Hill"	"43 Strickland St"	4	"House"	836000	"https://www.realestate.com.au/126694150"	19.9
"Bass Hill"	"11 Baxter Rd"	3	"House"	900000	""	19.9
"Bathurst"	"143 Rankin St"	2	"House"		"https://www.realestate.com.au/126684070"	200
"Bathurst"	"82 Stanley St"	3	"House"	210000	"https://www.realestate.com.au/126681238"	200
"Baulkham Hills"	"256 Seven Hills Wy"	5	"House"	1628000	"https://www.realestate.com.au/126682990"	23.2
"Baulkham Hills"	"32 Railway St"	3	"House"	1090000	"https://www.realestate.com.au/126685578"	23.2
"Baulkham Hills"	"5 Wyndham Pl"	3	"House"		"https://www.realestate.com.au/126686318"	23.2
"Beaconsfield"	"G04/63 Victoria St"	2	"Unit"		"https://www.realestate.com.au/126673854"	5
"Beecroft"	"40B Sutherland Rd"	4	"House"	1568038	"https://www.realestate.com.au/126658510"	18.6
"Beecroft"	"14 Lynbrae Av"	4	"House"	1920000	"https://www.realestate.com.au/126725270"	18.6
