"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"	Distance
"ABBOTSBURY"	"15 Lanceley Pl"	5	"House"	1480.0	"http://www.domain.com.au/2013896637"	31.3
"ALEXANDRIA"	"228 Belmont St"	3	"House"	1750.0	"http://www.domain.com.au/2013901905"	3.5
"ALEXANDRIA"	"10/62-72 Botany Rd"	1	"Unit"	680.0	"http://www.domain.com.au/2013902943"	3.5
"ALEXANDRIA"	"151/362 Mitchell Rd"	1	"Unit"	751.0	"http://www.domain.com.au/2013903898"	3.5
"ALEXANDRIA"	"14/7-17 Newton St"	2	"Unit"	725.0	"http://www.domain.com.au/2013878776"	3.5
"ALFORDS POINT"	"84 Brushwood Dr"	4	"House"	1620.0	"http://www.domain.com.au/2013873189"	21.9
"ALFORDS POINT"	"20 Watergum Pl"	4	"House"	Passed In	"http://www.domain.com.au/2013903834"	21.9
"ALLAMBIE HEIGHTS"	"6 Buna Pl"	3	"House"	1500.0	"http://www.domain.com.au/2013871602"	12
"ALLAMBIE HEIGHTS"	"98 Smith Av"	3	"House"	1476.0	"http://www.domain.com.au/2013902534"	12
"ARNCLIFFE"	"14 Mount St"	4	"House"	Price withheld	"http://www.domain.com.au/2013892660"	9.5
"ARTARMON"	"37/1 Jersey Rd"	2	"Unit"	Price withheld	"http://www.domain.com.au/2013902325"	6.7
"ASHFIELD"	"6/105-107 Alt St"	2	"Unit"	739.0	"http://www.domain.com.au/2013895149"	7.9
"ASHFIELD"	"1/5 Blackwood Av"	1	"Unit"	365.0	"http://www.domain.com.au/2013885376"	7.9
"ASHFIELD"	"5/15 Cecil St"	2	"Unit"	770.0	"http://www.domain.com.au/2013899437"	7.9
"ASHFIELD"	"7/49 Charlotte St"	2	"Unit"	741.0	"http://www.domain.com.au/2013883615"	7.9
"ASHFIELD"	"11/29 Elizabeth St"	2	"Unit"	Withdrawn	"http://www.domain.com.au/2013880746"	7.9
"AUBURN"	"52 Gordon Rd"	4	"House"	920.0	"http://www.domain.com.au/2013878824"	16.2
"AUBURN"	"3/13 Normanby Rd"	2	"Unit"	Withdrawn	"http://www.domain.com.au/2013898308"	16.2
"AVALON BEACH"	"7 Burrendong Pl"	4	"House"	Price withheld	"http://www.domain.com.au/2013895169"	28.1
"AVALON BEACH"	"3 Neweena Pl"	3	"House"	1850.0	"http://www.domain.com.au/2013879986"	28.1
"AVALON BEACH"	"127 Palmgrove Rd"	4	"House"	2300.0	"http://www.domain.com.au/2013869470"	28.1
"AVALON BEACH"	"15 Patrick St"	4	"House"	1455.0	"http://www.domain.com.au/2013902519"	28.1
"AVOCA BEACH"	"11 Matong La"	4	"Duplex"	742.5	"http://www.domain.com.au/2013890168"	49.3
"BALGOWLAH"	"15 Nield Av"	2	"House"	1591.0	"http://www.domain.com.au/2013891747"	9.6
"BALMAIN"	"17 Pashley St"	2	"House"	1310.0	"http://www.domain.com.au/2013892904"	2.9
"BALMAIN"	"4/2 Rosebery Pl"	2	"Unit"	Price withheld	"http://www.domain.com.au/2013901531"	2.9
"BALMAIN"	"2/6 Turner St"	2	"Unit"	Passed In	"http://www.domain.com.au/2013897424"	2.9
"BANGOR"	"9 Anzac Rd"	4	"House"	Passed In	"http://www.domain.com.au/2013907339"	23.5
"BANKSIA"	"5 Oakleigh Av"	3	"House"	1240.0	"http://www.domain.com.au/2013891353"	10.7
"BASS HILL"	"33 Adeline St"	3	"House"	820.0	"http://www.domain.com.au/2013896032"	19.9
"BASS HILL"	"129 Johnston Rd"	4	"Semi"	Price withheld	"http://www.domain.com.au/2013897980"	19.9
"BAULKHAM HILLS"	"35 Burrell Cr"	3	"House"	Price withheld	"http://www.domain.com.au/2013907261"	23.2
"BAULKHAM HILLS"	"3 Magnolia Av"	3	"House"	1279.0	"http://www.domain.com.au/2013893570"	23.2
"BAULKHAM HILLS"	"12 Marina Rd"	4	"House"	Passed In	"http://www.domain.com.au/2013892614"	23.2
"BAULKHAM HILLS"	"196 Seven Hills Rd"	4	"House"	1300.0	"http://www.domain.com.au/2013912182"	23.2
"BAYVIEW"	"2011 Pittwater Rd"	3	"House"	2250.0	"http://www.domain.com.au/2013883160"	24.5
"BEACON HILL"	"12 Cooper Cl"	4	"House"	2300.0	"http://www.domain.com.au/2013887133"	13.7
"BEAUMONT HILLS"	"9 Spur St"	4	"House"	1050.0	"http://www.domain.com.au/2013904886"	30.2
"BEECROFT"	"47 Wongala Cr"	3	"House"	2300.0	"http://www.domain.com.au/2013899375"	18.6
"BELFIELD"	"15 Clarence St"	3	"House"	1490.0	"http://www.domain.com.au/2013880030"	12
"BELLA VISTA"	"10 Wardington Ri"	4	"House"	Passed In	"http://www.domain.com.au/2013897482"	27.4
"BENSVILLE"	"53 Wards Rd"	4	"House"	Passed In	"http://www.domain.com.au/2013798357"	99
"BERALA"	"23 First Av"	2	"House"	Price withheld	"http://www.domain.com.au/2013892778"	16.3
"BEVERLY HILLS"	"158 Morgan St"	3	"House"	982.0	"http://www.domain.com.au/2013895335"	14.7
"BEXLEY"	"6 John St"	5	"House"	Passed In	"http://www.domain.com.au/2013892566"	11.7
