"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"
"BLACKTOWN"	"82 Peter St"	3	"House"	831.0	"https://www.domain.com.au/82-peter-st-blacktown-nsw-2148-2013831952"
"BLACKTOWN"	"47 William St"	5	"House"	925.0	"https://www.domain.com.au/47-william-street-blacktown-nsw-2148-2013831503"
"BLAKEHURST"	"953 King Georges Rd"	5	"House"	Passed In	"https://www.domain.com.au/953-king-georges-road-blakehurst-nsw-2221-2013853538"
"BONDI"	"11/270-272 Bondi Rd"	2	"Unit"	1500.0	"https://www.domain.com.au/11-270-bondi-road-bondi-nsw-2026-2013856491"
"BONDI BEACH"	"3/58 Beach Rd"	2	"Unit"	1773.0	"https://www.domain.com.au/3-58-beach-road-bondi-beach-nsw-2026-2013853011"
"BONDI BEACH"	"6/9 Edward St"	2	"Unit"	Withdrawn	"https://www.domain.com.au/6-9-edward-street-bondi-beach-nsw-2026-2013854918"
"BOSSLEY PARK"	"5 Ringtail Cr"	4	"House"	850.0	"https://www.domain.com.au/5-ringtail-crescent-bossley-park-nsw-2176-2013850337"
"BOSSLEY PARK"	"28 Roland St"	3	"House"	Passed In	"https://www.domain.com.au/28-roland-street--bossley-park-nsw-2176-2013845824"
"BOTANY"	"1416 Botany Rd"	3	"House"	1525.0	"https://www.domain.com.au/1416-botany-road-botany-nsw-2019-2013845999"
"BRADBURY"	"9 Appin Rd"	3	"House"	Passed In	"https://www.domain.com.au/9-appin-road-bradbury-nsw-2560-2013834359"
"BRIGHTON-LE-SANDS"	"1/96 The Grand Pde"	2	"Unit"	610.0	"https://www.domain.com.au/1-96-the-grand-parade-brighton-le-sands-nsw-2216-2013853299"
"BROOKVALE"	"10/21 Pine Av"	2	"Unit"	830.0	"https://www.domain.com.au/10-21-pine-avenue-brookvale-nsw-2100-2013857912"
"BURWOOD"	"26/12-16 Belmore St"	2	"Unit"	750.0	"https://www.domain.com.au/26-12-16-belmore-street-burwood-nsw-2134-2013839316"
"BURWOOD"	"3/15-17 Carilla St"	3	"Unit"	1110.0	"https://www.domain.com.au/3-15-carilla-street-burwood-nsw-2134-2013845359"
"BURWOOD"	"27-29 Gordon St"	0	"House"	Passed In	"https://www.domain.com.au/27-29-gordon-st-burwood-nsw-2134-2013899140"
"CABRAMATTA"	"27 Eurabbie St"	4	"House"	Passed In	"https://www.domain.com.au/27-eurabbie-street-cabramatta-nsw-2166-2013848673"
"CABRAMATTA"	"17/3-5 Gilbert St"	2	"Unit"	Passed In	"https://www.domain.com.au/17-3-5-gilbert-street-cabramatta-nsw-2166-2013834556"
"CABRAMATTA WEST"	"8 Annette St"	2	"House"	798.0	"https://www.domain.com.au/8-annette-street-cabramatta-west-nsw-2166-2013847885"
"CAMMERAY"	"14/8-14 Kyngdon St"	3	"Unit"	Price withheld	"https://www.domain.com.au/14-8-kyngdon-street-cammeray-nsw-2062-2013857840"
"CAMPERDOWN"	"12 Kingston Rd"	2	"House"	1535.0	"https://www.domain.com.au/12-kingston-road-camperdown-nsw-2050-2013840450"
"CARLINGFORD"	"10 Buyuma St"	4	"House"	1620.0	"https://www.domain.com.au/10-buyuma-street-carlingford-nsw-2118-2013851498"
