"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"	Distance
"ABBOTSBURY"	"19 Withers Pl"	5	"House"	Passed In	"https://www.domain.com.au/19-withers-place-abbotsbury-nsw-2176-2013862966"	31.3
"ACACIA GARDENS"	"15 Mapiti Pl"	4	"House"	800.0	"https://www.domain.com.au/acacia-gardens-nsw-2763-2013863944"	31.7
"ALEXANDRIA"	"114/141-143 McEvoy St"	2	"Unit"	930.0	"https://www.domain.com.au/114-141-143-mcevoy-street-alexandria-nsw-2015-2013872166"	3.5
"ALLAMBIE HEIGHTS"	"12 Pozieres Pde"	5	"House"	1760.0	"https://www.domain.com.au/12-pozieres-parade-allambie-heights-nsw-2100-2013857560"	12
"ALLAMBIE HEIGHTS"	"43 Roosevelt Av"	4	"House"	1650.0	"https://www.domain.com.au/43-roosevelt-avenue-allambie-heights-nsw-2100-2013889529"	12
"ALLAMBIE HEIGHTS"	"24 Smith Av"	3	"House"	1600.0	"https://www.domain.com.au/24-smith-avenue-allambie-heights-nsw-2100-2013866719"	12
"ANNANDALE"	"185 Johnston St"	3	"House"	1670.0	"https://www.domain.com.au/185-johnston-street-annandale-nsw-2038-2013872733"	3.7
"ANNANDALE"	"119 View St"	2	"House"	Price withheld	"https://www.domain.com.au/119-view-street-annandale-nsw-2038-2013852837"	3.7
"ARTARMON"	"3/85-91 Hampden Rd"	2	"Unit"	846.0	"https://www.domain.com.au/3-85-91-hampden-road-artarmon-nsw-2064-2013868729"	6.7
"ASHBURY"	"14 First St"	2	"House"	1310.0	"https://www.domain.com.au/14-first-street-ashbury-nsw-2193-2013861275"	9
"ASHBURY"	"29 Whitfield Av"	3	"House"	1465.0	"https://www.domain.com.au/29-whitfield-avenue-ashbury-nsw-2193-2013855525"	9
"ASHFIELD"	"22 Hanks St"	3	"House"	1100.0	"https://www.domain.com.au/22-hanks-street-ashfield-nsw-2131-2013855516"	7.9
"ASHFIELD"	"155 Queen St"	3	"House"	Price withheld	"https://www.domain.com.au/155-queen-street-ashfield-nsw-2131-2013860718"	7.9
"ASHFIELD"	"803/17-20 The Esplanade "	3	"Unit"	Passed In	"https://www.domain.com.au/803-17-20-the-esplanade-ashfield-nsw-2131-2013817953"	7.9
"ASHFIELD"	"4/12-14 Tintern Rd"	2	"Unit"	980.0	"https://www.domain.com.au/4-12-14-tintern-road-ashfield-nsw-2131-2013852483"	7.9
"ASQUITH"	"5 Lincoln Cl"	4	"House"	Passed In	"https://www.domain.com.au/5-lincoln-cl-asquith-nsw-2077-2013854884"	21.9
"AUBURN"	"167 Cumberland Rd"	3	"House"	900.0	"https://www.domain.com.au/167-cumberland-rd-auburn-nsw-2144-2013862298"	16.2
"AUBURN"	"182 Park Rd"	3	"House"	1130.0	"https://www.domain.com.au/182-park-road-auburn-nsw-2144-2013848086"	16.2
"AVALON BEACH"	"8/660 Barrenjoey Rd"	1	"Unit"	400.0	"https://www.domain.com.au/8-660-barrenjoey-road-avalon-beach-nsw-2107-2013809178"	28.1
"AVALON BEACH"	"41 Careel Head Rd"	5	"House"	2270.0	"https://www.domain.com.au/41-careel-head-road-avalon-beach-nsw-2107-2013833067"	28.1
"AVOCA BEACH"	"219 The Round Drive "	3	"House"	900.0	"https://www.domain.com.au/219-the-round-drive-avoca-beach-nsw-2251-2013840469"	49.3
"BALGOWLAH"	"4/133 Griffiths St"	3	"Unit"	Price withheld	"https://www.domain.com.au/4-133-griffiths-street-balgowlah-nsw-2093-2013864336"	9.6
"BALGOWLAH"	"31 Lodge St"	4	"House"	3000.0	"https://www.domain.com.au/31-lodge-street-balgowlah-nsw-2093-2013861772"	9.6
"BALGOWLAH"	"2/98 Wanganella St"	3	"Townhouse"	1851.0	"https://www.domain.com.au/98b-wanganella-street-balgowlah-nsw-2093-2013874985"	9.6
"BALGOWLAH"	"6/15 White St"	2	"Unit"	1180.0	"https://www.domain.com.au/6-15-white-street-balgowlah-nsw-2093-2013873758"	9.6
"BALGOWLAH"	"1/42A White St"	4	"House"	1735.0	"https://www.domain.com.au/1-42a-white-street-balgowlah-nsw-2093-2013862940"	9.6
"BALMAIN"	"6A Isabella St"	4	"House"	2150.0	"https://www.domain.com.au/6a-isabella-street-balmain-nsw-2041-2013863939"	2.9
"BALMAIN"	"9 Phoebe St"	4	"House"	4750.0	"https://www.domain.com.au/9-phoebe-street-balmain-nsw-2041-2013856519"	2.9
"BALMAIN EAST"	"3/86 Darling St"	1	"Unit"	Passed In	"https://www.domain.com.au/3-86-darling-street-balmain-east-nsw-2041-2013872563"	1.8
"BANKSIA"	"12 Cameron St"	3	"House"	1200.0	"https://www.domain.com.au/12-cameron-street-banksia-nsw-2216-2013859317"	10.7
"BARDWELL PARK"	"6 May St"	4	"House"	Passed In	"https://www.domain.com.au/6-may-street-bardwell-park-nsw-2207-2013865720"	10.4
"BASS HILL"	"37A Orchard Rd"	5	"House"	860.0	"https://www.domain.com.au/37a-orchard-road-bass-hill-nsw-2197-2013867672"	19.9
"BATEAU BAY"	"23 Rickard St"	4	"House"	730.0	"https://www.domain.com.au/23-rickard-street-bateau-bay-nsw-2261-2013872820"	104
"BAULKHAM HILLS"	"25 Canyon Rd"	5	"House"	1190.0	"https://www.domain.com.au/25-canyon-road-baulkham-hills-nsw-2153-2013861249"	23.2
"BAULKHAM HILLS"	"46 Geraldine Av"	3	"House"	1155.0	"https://www.domain.com.au/46-geraldine-ave-baulkham-hills-nsw-2153-2013869172"	23.2
"BAULKHAM HILLS"	"7 Lindsay St"	4	"House"	Passed In	"https://www.domain.com.au/7-lindsay-street-baulkham-hills-nsw-2153-2013864436"	23.2
"BAULKHAM HILLS"	"12/65-69 Seven Hills Rd"	3	"Townhouse"	855.0	"https://www.domain.com.au/12-65-69-seven-hills-road-baulkham-hills-nsw-2153-2013862294"	23.2
"BAULKHAM HILLS"	"14 Ula Cr"	3	"House"	1205.0	"https://www.domain.com.au/14-ula-crescent-baulkham-hills-nsw-2153-2013862380"	23.2
"BEACON HILL"	"7 Landy Pl"	4	"House"	1675.0	"https://www.domain.com.au/7-landy-place-beacon-hill-nsw-2100-2013870040"	13.7
"BEACON HILL"	"22 Tristram Rd"	5	"House"	1930.0	"https://www.domain.com.au/22-tristram-road-beacon-hill-nsw-2100-2013856669"	13.7
