"Suburb","Address",Bedroom,"Type",Price,"Link"
"Abbotsbury","10 Nowland Pl",5,"House",1350,"https://www.realestate.com.au/126136322"
"Abbotsford","10/11 Abbotsford Pde",2,"Unit",,"https://www.realestate.com.au/126168898"
"Abbotsford","12/1 Harbourview Cr",3,"Unit",2214,"https://www.realestate.com.au/126110442"
"Adamstown Heights","15 Muriel St",5,"House",,""
"Alexandria","15/30 Brennan St",2,"Unit",,"https://www.realestate.com.au/126173310"
"Alexandria","404/2 Boundary St",1,"Unit",772,"https://www.realestate.com.au/126182202"
"Alexandria","24/1 Shirley St",1,"Unit",,"https://www.realestate.com.au/126148238"
"Alexandria","144/362 Mitchell Rd",2,"Unit",,"https://www.realestate.com.au/126178526"
"Alfords Point","10 Hibiscus Cl",4,"House",1265,"https://www.realestate.com.au/126163802"
"Allawah","3/11 Lancelot St",2,"Unit",,"https://www.realestate.com.au/126203354"
"Annandale","170 Trafalgar St",3,"House",,"https://www.realestate.com.au/126148442"
"Annandale","163A Trafalgar La",3,"House",,"https://www.realestate.com.au/126125290"
"Annandale","3/200 Albion St",2,"Unit",,"https://www.realestate.com.au/126124578"
"Annandale","31/19 Johnston St",1,"Unit",585,"https://www.realestate.com.au/126120410"
"Annandale","31 Young St",2,"House",,"https://www.realestate.com.au/126191406"
"Annandale","59 Ferris St",2,"House",1026,"https://www.realestate.com.au/126193854"
"Artarmon","6/3 Milner Rd",3,"Unit",1390,"https://www.realestate.com.au/126196078"
"Artarmon","32 Stewart St",4,"House",,"https://www.realestate.com.au/126202466"
"Ashfield","89/2A Brown St",2,"Unit",855,"https://www.realestate.com.au/126160066"
"Ashfield","13/44 Bland St",2,"Unit",,"https://www.realestate.com.au/126179126"
"Ashfield","8/35 Charlotte St",2,"Unit",,"https://www.realestate.com.au/126160778"
"Ashfield","15/44 Chandos St",3,"Unit",,"https://www.realestate.com.au/126148458"
"Ashfield","70 Milton St",2,"House",,"https://www.realestate.com.au/126147794"
"Ashfield","4/134 Frederick St",1,"Unit",510,"https://www.realestate.com.au/126140078"
"Asquith","12 Michigan Av",3,"House",,"https://www.realestate.com.au/126203394"
"Auburn","1 Gibbs St",5,"House",,"https://www.realestate.com.au/126122482"
"Austinmer","41 Moore St",4,"House",,"https://www.realestate.com.au/126182774"
"Avoca Beach","34 Gill Av",6,"House",1150,""
"Avoca Beach","28 Townsend Av",4,"House",,"https://www.realestate.com.au/126152862"
"Avoca Beach","30 Ridgway Rd",3,"House",775,"https://www.realestate.com.au/126207358"
"Balgowlah","1/299 Sydney Rd",3,"Unit",1300,"https://www.realestate.com.au/126167750"
"Balgowlah","25 Rickard St",3,"House",1900,"https://www.realestate.com.au/126178002"
"Balgowlah","2/21 Seaview St",3,"House",1625,"https://www.realestate.com.au/126179406"
"Balgowlah Heights","9 Willawa St",4,"House",2645,"https://www.realestate.com.au/126176994"
"Ballina","23/114 Cherry St",2,"Unit",365,"https://www.realestate.com.au/126120622"
"Ballina","5 Mulloway Pl",3,"House",,"https://www.realestate.com.au/126022758"
"Balmain","5 Carieville St",3,"House",2575,"https://www.realestate.com.au/126166958"
"Balmain","2 Caroline St",3,"House",2515,"https://www.realestate.com.au/126123458"
"Balmain","5/55 Mullens St",3,"Unit",1687,"https://www.realestate.com.au/126181214"
"Balmain","61 Reynolds St",4,"House",,"https://www.realestate.com.au/126183502"
"Bangor","1/15 Dulin Cl",4,"Unit",975,"https://www.realestate.com.au/126184722"
"Bangor","40 Bodalla Cr",4,"House",1335,"https://www.realestate.com.au/126156698"
"Banksia","10 Judd St",2,"House",,"https://www.realestate.com.au/125439838"
"Banksia","50 Judd St",2,"House",1285,""
"Banksia","30 Gibbes St",3,"House",1391,"https://www.realestate.com.au/126065062"
"Banksia","39 Lennox St",3,"House",,"https://www.realestate.com.au/126163674"
"Banksia","54 Tabrett St",3,"House",1350,"https://www.realestate.com.au/126171714"
"Bankstown","225 Canterbury Rd",2,"House",680,"https://www.realestate.com.au/126247002"
"Bankstown","37A Marshall St",3,"House",975,"https://www.realestate.com.au/126184698"
"Bar Beach","3 Nickson St",3,"House",,"https://www.realestate.com.au/126121354"
"Bardwell Valley","5 Mawson St",3,"House",1470,"https://www.realestate.com.au/126164798"
"Barrack Point","73 Barrack Av",4,"House",,"https://www.realestate.com.au/126065166"
"Bass Hill","63 Australia St",3,"House",796,"https://www.realestate.com.au/126158194"
"Bass Hill","76 Cann St",4,"House",853,"https://www.realestate.com.au/126148738"
"Bass Hill","24 Orchard Rd",4,"House",,"https://www.realestate.com.au/126166662"
"Bateau Bay","1/21 Adrian Cl",3,"House",420,"https://www.realestate.com.au/126136610"
"Bateau Bay","5 Clyde Cl",3,"House",586,"https://www.realestate.com.au/126156038"
"Bateau Bay","25 Rays Rd",4,"House",,"https://www.realestate.com.au/126149422"
"Bateau Bay","2 Altona Av",2,"House",765,"https://www.realestate.com.au/126159106"
"Baulkham Hills","60 Hilda Rd",3,"House",,"https://www.realestate.com.au/126184134"
"Baulkham Hills","35 Oakland Av",5,"House",1460,"https://www.realestate.com.au/126229154"
"Baulkham Hills","13 Yetholme Av",5,"House",,"https://www.realestate.com.au/126170250"
"Baulkham Hills","35 Girralong Av",3,"House",,"https://www.realestate.com.au/125948514"
"Beacon Hill","60A Brooker Av",3,"House",1650,"https://www.realestate.com.au/126184858"
"Beacon Hill","50 Lady Penrhyn Dr",5,"House",3200,"https://www.realestate.com.au/126050538"
"Beacon Hill","21 Courtley Rd",3,"House",1656,"https://www.realestate.com.au/126183494"
"Beacon Hill","8 Gilles Cr",3,"House",1702,"https://www.realestate.com.au/126237982"
"Beecroft","124A Murray Farm Rd",3,"House",,"https://www.realestate.com.au/126169214"
"Bega","8 Belmore St",4,"House",,""
"Bella Vista","7A Bingara Cr",3,"House",1075,"https://www.realestate.com.au/126163154"
"Bellambi","72 Rothery St",3,"House",,"https://www.realestate.com.au/126164838"
"Bellevue Hill","4/33 Balfour Rd",2,"Unit",1135,"https://www.realestate.com.au/126213234"
"Bellevue Hill","7/150 Old South Head Rd",3,"Unit",,"https://www.realestate.com.au/126181958"
"Belmore","7/62 Sharp St",3,"Unit",680,"https://www.realestate.com.au/126153638"
"Belmore","10 Passey Av",3,"House",1300,"https://www.realestate.com.au/126194114"
"Belrose","10 Annette Pl",5,"House",1770,"https://www.realestate.com.au/126172098"
"Berkeley","16 Rhondda St",4,"House",618,""
"Berkeley","17 Whimbrel Av",4,"House",,"https://www.realestate.com.au/126168642"
"Bexley","81 Caledonian St",3,"House",,""
"Bexley","17 Halley Av",3,"House",1600,"https://www.realestate.com.au/126150818"
"Bexley","8/9 Gladstone St",2,"Unit",547,"https://www.realestate.com.au/126097642"
"Bilgola Plateau","5 Mountview Pl",4,"House",,"https://www.realestate.com.au/126141278"
"Bilgola Plateau","349 Lower Plateau Rd",3,"House",,"https://www.realestate.com.au/126142410"
"Bilgola Plateau","8 Algona St",4,"House",,"https://www.realestate.com.au/126196602"
"Bilgola Plateau","7 Mountview Pl",4,"House",,"https://www.realestate.com.au/126196166"
"Birrong","12 Gazzard St",2,"House",995,"https://www.realestate.com.au/126199918"
