"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"
"ALFORDS POINT"	"23 Coachwood Cr"	4	"House"	1302.0	"https://www.domain.com.au/23-coachwood-crescent-alfords-point-nsw-2234-2013833507"
"ALLAMBIE HEIGHTS"	"8/39-41 Kentwell Rd"	4	"Townhouse"	Price withheld	"https://www.domain.com.au/8-39-kentwell-road-allambie-heights-nsw-2100-2013833737"
"ALLAMBIE HEIGHTS"	"15/46-52 Kentwell Rd"	1	"Unit"	Price withheld	"https://www.domain.com.au/15-46-kentwell-road-allambie-heights-nsw-2100-2013824563"
"ARNCLIFFE"	"27 Mount St"	4	"House"	Withdrawn	"https://www.domain.com.au/27-mount-street-arncliffe-nsw-2205-2013696896"
"ARTARMON"	"11/14-20 Eric Rd"	3	"Unit"	1439.0	"https://www.domain.com.au/11-14-20-eric-road-artarmon-nsw-2064-2013852095"
"ASHFIELD"	"109/2A Brown St"	1	"Unit"	644.0	"https://www.domain.com.au/109-2a-brown-street-ashfield-nsw-2131-2013830619"
"ASHFIELD"	"5/14 The Avenue "	2	"Unit"	690.0	"https://www.domain.com.au/5-14-the-avenue-ashfield-nsw-2131-2013830780"
"ASHFIELD"	"1/7 The Avenue "	2	"Unit"	685.0	"https://www.domain.com.au/1-7-the-avenue-ashfield-nsw-2131-2013830613"
"BALMAIN"	"9 Theodore St"	5	"House"	Withdrawn	"https://www.domain.com.au/9-theodore-street-balmain-nsw-2041-2013787811"
"BALMAIN"	"29 Wortley St"	4	"House"	2857.0	"https://www.domain.com.au/29-wortley-street-balmain-nsw-2041-2013829532"
"BAULKHAM HILLS"	"20 Gooden Dr"	5	"House"	1075.0	"https://www.domain.com.au/20-gooden-drive-baulkham-hills-nsw-2153-2013834987"
"BEAUMONT HILLS"	"25 Hadley Cct"	5	"House"	Passed In	"https://www.domain.com.au/25-hadley-circuit-beaumont-hills-nsw-2155-2013833612"
"BELMORE"	"3/19A Harp St"	3	"Townhouse"	Price withheld	"https://www.domain.com.au/3-19a-harp-street-belmore-nsw-2192-2013835850"
"BELROSE"	"76A Haigh Av"	4	"House"	Price withheld	"https://www.domain.com.au/76a-haigh-avenue-belrose-nsw-2085-2013838572"
"BEVERLY HILLS"	"72 Welfare Av S"	3	"House"	1300.0	"https://www.domain.com.au/72-welfare-avenue-south-beverly-hills-nsw-2209-2013817898"
"BILGOLA BEACH"	"2 Bilgola Av"	3	"House"	3360.0	"https://www.domain.com.au/2-bilgola-avenue-bilgola-beach-nsw-2107-2013822498"
"BIRCHGROVE"	"8 Spring St"	3	"House"	2032.5000000000002	"https://www.domain.com.au/8-spring-street-birchgrove-nsw-2041-2013829533"
"BLAKEHURST"	"16 Pacific St"	5	"House"	Passed In	"https://www.domain.com.au/16-pacific-street-blakehurst-nsw-2221-2013817277"
"BLUE BAY"	"2/164 Ocean Pde"	3	"Villa"	775.0	"https://www.domain.com.au/2-164-ocean-parade-blue-bay-nsw-2261-2013841917"
"BONDI JUNCTION"	"7/123 Old South Head Rd"	2	"Unit"	Price withheld	"https://www.domain.com.au/7-123-old-south-head-road-bondi-junction-nsw-2022-2013823774"
"BOSSLEY PARK"	"27 Garrison Rd"	4	"House"	Passed In	"https://www.domain.com.au/27-garrison-road-bossley-park-nsw-2176-2013822462"
"BRIGHTON-LE-SANDS"	"8/22-24 Reading Rd"	3	"Villa"	1085.0	"https://www.domain.com.au/8-22-24-reading-road-brighton-le-sands-nsw-2216-2013829408"
"BUFF POINT"	"125 Buff Point Av"	4	"House"	Price withheld	"https://www.domain.com.au/125-buff-point-avenue-buff-point-nsw-2262-2013830956"
"CAMDEN SOUTH"	"43 Berallier Dr"	3	"House"	Price withheld	"https://www.domain.com.au/43-berallier-drive-camden-south-nsw-2570-2013837368"
"CAMPSIE"	"15 Eighth Av"	4	"House"	Passed In	"https://www.domain.com.au/15-eighth-avenue-campsie-nsw-2194-2013825363"
"CANLEY HEIGHTS"	"71 Avoca Rd"	3	"House"	Price withheld	"https://www.domain.com.au/71-avoca-road-canley-heights-nsw-2166-2013824794"
"CANLEY HEIGHTS"	"161A Canley Vale Rd"	4	"House"	Withdrawn	"https://www.domain.com.au/161a-canley-vale-road-canley-heights-nsw-2166-2013813535"
"CARINGBAH"	"16 Drake Av"	3	"House"	Price withheld	"https://www.domain.com.au/16-drake-ave-caringbah-nsw-2229-2013830771"
"CARINGBAH SOUTH"	"207A Gannons Rd"	4	"House"	Passed In	"https://www.domain.com.au/207a-gannons-road-caringbah-south-nsw-2229-2013830770"
"CARINGBAH SOUTH"	"437 Willarong Rd"	4	"House"	Withdrawn	"https://www.domain.com.au/437-willarong-road-caringbah-south-nsw-2229-2013831444"
"CARLINGFORD"	"59 Tomah St"	4	"House"	1950.0	"https://www.domain.com.au/59-tomah-street-carlingford-nsw-2118-2013830974"
"CASTLE HILL"	"3 Carrbridge Dr"	5	"House"	1920.0	"https://www.domain.com.au/3-carrbridge-drive-castle-hill-nsw-2154-2013822673"
"CASTLE HILL"	"11 English Av"	6	"House"	Passed In	"https://www.domain.com.au/11-english-avenue-castle-hill-nsw-2154-2013838922"
"CASTLE HILL"	"124 Tuckwell Rd"	3	"House"	1270.0	"https://www.domain.com.au/124-tuckwell-road-castle-hill-nsw-2154-2013837686"
"CHATSWOOD"	"41 Royal St"	3	"House"	Passed In	"https://www.domain.com.au/41-royal-street-chatswood-nsw-2067-2013828997"
"CHESTER HILL"	"6 Moora St"	3	"House"	Withdrawn	"https://www.domain.com.au/6-moora-st-chester-hill-nsw-2162-2013842375"
