Dean Park,2761,35.2
Dee Why,2099,14.6
Denham Court,2565,36.1
Denistone,2114,14
Denistone East,2112,12.8
Denistone West,2114,14.1
Dharruk,2770,38.6
Dolans Bay,2229,22.7
Dolls Point,2219,15.1
Doonside,2767,33.2
Double Bay,2028,3.6
Dover Heights,2030,6.8
Drummoyne,2047,5.2
Duffys Forest,2084,21.2
Dulwich Hill,2203,7.2
Dundas,2117,16.8
Dundas Valley,2117,16.1
Dural,2158,26.4
Eagle Vale,2558,40.9
Earlwood,2206,9.9
East Beecroft,,24
East Corrimal,,86
East Gosford,2250,49.6
East Hills,2213,23
East Killara,2071,13.1
East Lindfield,2070,11.4
East Ryde,2113,8.6
Eastern Creek,2766,33.5
Eastgardens,2036,8.9
Eastlakes,2018,6.5
Eastwood,2122,14.5
Ebenezer,2756,48.6
Edensor Park,2176,30.7
Edgecliff,2027,2.9
Edmondson Park,2174,34.2
Elanora Heights,2101,20.3
Eleebana,,148
Elizabeth Bay,2011,1.9
ELIZABETH HILLS,,48
Elvina Bay,2105,25.8
Emerton,2770,39.4
Empire Bay,2257,43.9
Enfield,2136,10.8
Engadine,2233,28.4
Englorie Park,2560,44.9
Enmore,2042,4.9
Epping,2121,15.6
Ermington,2115,15.3
Erskine Park,2759,39.2
Erskineville,2043,4.2
Eschol Park,2558,41
Ettalong Beach,2257,41
Eurimbla,2867,6.4
Eveleigh,2015,3.6
Fairfield,2165,23.2
Fairfield East,2165,21.2
Fairfield Heights,2165,24.8
Fairfield West,2165,26.3
Fairlight,2094,9.8
Farmborough Heights,,101
Fiddletown,2159,32.6
Figtree,,97
Fishermans Bay,,209
Five Dock,2046,7.1
Flinders,,1000
Forbes,,379
Forest Glen,2157,39.6
Forest Lodge,2037,2.9
Forestville,2087,11.7
Forresters Beach,,98
Forster,,312
Frenchs Forest,2086,13
Frenchs Forest East,2086,13.3
FRESHWATER,,18
Galston,2159,28.3
Garie,2232,36.2
Georges Hall,2198,20.6
Georgetown,,163
Gilead,2560,49
Girraween,2145,25.1
Gladesville,2111,8.1
Glebe,2037,2.3
Glen Alpine,2560,46.6
Glendenning,2761,35.5
Glenfield,2167,31.1
Glenhaven,2156,26
Glenorie,2157,32.3
Glenwood,2768,29.9
Glenworth Valley,2250,49.4
Gordon,2072,13.4
Grafton,,624
Granville,2142,18.5
Grays Point,2232,24.3
Great Mackerel Beach,2108,31.8
Green Point,2251,48.3
Green Valley,2168,31.7
Greenacre,2190,14.5
Greenfield Park,2176,29.3
Greenwich,2065,4.4
